date,handle,content,link,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
"March 31, 2020 at 03:09PM",@Tiffany_Shedd,"Thank you to all those fighting COVID-19 on the frontlines of this battle. I wish all of the University of Arizona medical students the best of luck in their new courageous journey.
https://t.co/pBSZIjPnaD",http://twitter.com/Tiffany_Shedd/status/1245065818980913165,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 01, 2020 at 11:20AM",@Tiffany_Shedd,The Arizona Department of Health Services has released an up-to-date number of COVID-19 cases along with what counties they are taking place in. https://t.co/FAR1iMKNQD,http://twitter.com/Tiffany_Shedd/status/1245370515050713093,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 01, 2020 at 11:22AM",@Tiffany_Shedd,The Arizona Department of Health Services has released an up-to-date number of COVID-19 cases along with what counties they are taking place in. Check it out here: https://t.co/o6WIPshZkA,http://twitter.com/Tiffany_Shedd/status/1245370877765726209,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 01, 2020 at 01:16PM",@Tiffany_Shedd,RT @animalag: FFA and 4-H members are lending their talents to the fight against COVID-19! 💚 🙌 https://t.co/iHLznjRBKm,http://twitter.com/Tiffany_Shedd/status/1245399696983470080,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 01, 2020 at 01:28PM",@Tiffany_Shedd,"As of today, I am officially on the ballot for #AZ01! Thank you to everyone who helped me achieve this milestone, I wouldn't have been able to do it without your help. Together we will retire Two-Faced-Tom and bring real leadership to AZ01. Help is on the way, @realDonaldTrump! https://t.co/Izxc3rvo2K",http://twitter.com/Tiffany_Shedd/status/1245402605116952578,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 01, 2020 at 06:13PM",@Tiffany_Shedd,"RT @dougducey: #COVID19 has hit many industries hard, including Arizona’s dairy farmers. Today, I asked @SecPompeo &amp; @SecretarySonny to work with Mexico’s government on solutions to restart the export of milk products to Mexico. Read my letter: https://t.co/iG8Q7CGBqe",http://twitter.com/Tiffany_Shedd/status/1245474492144431104,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 02, 2020 at 11:07AM",@Tiffany_Shedd,"As a woman running for Congress, this article is spot on. Under @realdonaldtrump's leadership women are thriving due to the President Trump’s pro-growth, pro-America and pro-women policies.  Thank you for shining a light on this, @kelliwardaz. https://t.co/GQyO0Em0wD",http://twitter.com/Tiffany_Shedd/status/1245729678465413120,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 02, 2020 at 04:46PM",@Tiffany_Shedd,"Follow these guidelines laid out in the @azfb’s article to make sure you are taking all the necessary precautions while farming.  
https://t.co/UEZjPSohq3",http://twitter.com/Tiffany_Shedd/status/1245814994408747010,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 02, 2020 at 09:11PM",@Tiffany_Shedd,Mexican drug cartels are taking advantage of COVID-19 to smuggle drugs across our southern border. Thank you @realDonaldTrump for protecting the American people from the deadly scourge of Illegal drugs by launching an enhanced counternarcotics operations. https://t.co/kI6KmpaGYY,http://twitter.com/Tiffany_Shedd/status/1245881580284936192,TRUE,TRUE,TRUE,1,FALSE,FALSE,FALSE,0
"April 03, 2020 at 11:42AM",@Tiffany_Shedd,"If you are a small business owner and having trouble maintaining payroll, you can apply for a forgivable loan under the Paycheck Protection Program. This loan is only forgivable if used to cover rent, payroll, utilities, mortgages and insurance premiums. https://t.co/G4MXT6zEG4",http://twitter.com/Tiffany_Shedd/status/1246100710946680834,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 03, 2020 at 06:57PM",@Tiffany_Shedd,Check out this graphic to learn more about the #PaymentProtectionProgram. This is a big step in the right direction! https://t.co/1sV7vsErxg,http://twitter.com/Tiffany_Shedd/status/1246210271342968837,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 03, 2020 at 10:36PM",@Tiffany_Shedd,"RT @DebbieLesko: Great to see business leaders prioritizing their employees during these tough economic times. We can all do our part to help our communities and if we work together, we can beat this virus! https://t.co/uSBj0WP8xl",http://twitter.com/Tiffany_Shedd/status/1246265358065041411,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 04, 2020 at 04:45PM",@Tiffany_Shedd,If you are a farmer or rancher contact your banker. https://t.co/LggjiuJPyP,http://twitter.com/Tiffany_Shedd/status/1246539411384201217,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 04, 2020 at 09:04PM",@Tiffany_Shedd,"ICYMI: Yesterday, @maggieslist1 endorsed my campaign to flip #AZ01. They are one of the largest conservative women's groups and I look forward to teaming up with them to take back the House and enact @realDonaldTrump’s America first agenda. #WomenForTrump
https://t.co/VlKCCqEGOS",http://twitter.com/Tiffany_Shedd/status/1246604685517209600,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
