date,handle,content,link,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
"April 03, 2020",@PathForFreedom,"Surprise, surprise! Lying communist #China hides actual #COVID19 data from the world. Why expect this bad actor to tell the truth? China has one goal: to secure power for itself & be the world leader. #MSM needs to stop peddling propaganda & undermining 
@POTUS
 
@realDonaldTrump",https://twitter.com/PathForFreedom/status/1245392976244699136,TRUE,TRUE,TRUE,1,FALSE,FALSE,TRUE,0
"April 04, 2020 at 09:07AM",@PathForFreedom,"RT @dougducey: Runoff from rain and snow across the mountains of central Arizona this year has filled reservoirs nearly to capacity along Verde and Salt rivers. Salt River Project’s system of reservoirs is now 98% full, the highest level since 2010.

 https://t.co/QHDn9hugtJ via @azcentral",http://twitter.com/PathForFreedom/status/1246424170532982784,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 05, 2020 at 03:37PM",@PathForFreedom,Wishing everyone a blessed #PalmSunday https://t.co/rxqRTz3jb1,http://twitter.com/PathForFreedom/status/1246884667904495616,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 07, 2020 at 01:18PM",@PathForFreedom,"Not in this country. This is a clear line. Government doesn't have the right to impede on your individual liberties. And neither does a multinational organization beholden to China. @WHO @realDonaldTrump @NRCC @NRA 
https://t.co/BXiW4sSPJf",http://twitter.com/PathForFreedom/status/1247574446405070849,TRUE,TRUE,TRUE,1,FALSE,FALSE,TRUE,0
"April 07, 2020 at 01:19PM",@PathForFreedom,"RT @realDonaldTrump: The W.H.O. really blew it. For some reason, funded largely by the United States, yet very China centric. We will be giving that a good look. Fortunately I rejected their advice on keeping our borders open to China early on. Why did they give us such a faulty recommendation?",http://twitter.com/PathForFreedom/status/1247574643013079042,TRUE,TRUE,TRUE,1,FALSE,FALSE,TRUE,0
"April 08, 2020 at 02:02PM",@PathForFreedom,"The #AmericanSpirit is alive and well in our country. Many great people in the #QuailCreek community. We're going to get through this together! @greenvalleynews 
https://t.co/7LWyEjLiWQ",http://twitter.com/PathForFreedom/status/1247947923599396865,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 08, 2020 at 02:11PM",@PathForFreedom,RT @OANN: White House floats 4-8 weeks on economic recovery https://t.co/JxRlzklIpC via @YouTube @ChanelRion #OANN,http://twitter.com/PathForFreedom/status/1247950084399968256,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 08, 2020 at 05:39PM",@PathForFreedom,".@BernieSanders #berns out! But socialism isn't going away.

Help me Keep America Great and Arizona Free! #KAG #AZFREE

Support my campaign here: https://t.co/ZFtt69OPEu

https://t.co/JyFrmKQfmt",http://twitter.com/PathForFreedom/status/1248002490672398336,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 09, 2020 at 02:52AM",@PathForFreedom,Maybe NBC could report on the number of cremations in China over the last 3 months https://t.co/8tlOOX5kO2 https://t.co/2WfXv4mBp4,http://twitter.com/PathForFreedom/status/1248141779905302528,TRUE,TRUE,TRUE,1,FALSE,FALSE,TRUE,0
"April 11, 2020 at 09:50AM",@PathForFreedom,"RT @WhiteHouse: This teenage pilot-in-training is using his skills to deliver supplies to rural hospitals in Virginia—transporting 3,000 gloves, 1,000 head covers, 500 shoe covers, and more on a recent flight! ✈️  https://t.co/9JaxUMmerz",http://twitter.com/PathForFreedom/status/1248971766921396230,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 12, 2020 at 08:34AM",@PathForFreedom,"Thank you, Mr. President -- Happy Easter to all! @POTUS #Easter https://t.co/2X4IXPsGZI",http://twitter.com/PathForFreedom/status/1249314876704489473,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 13, 2020 at 04:48PM",@PathForFreedom,".@TheDemocrats and mainstream media claim ""everybody saw this coming in early January. Why didn't @POTUS act?""

Oh really? Roll the tape! https://t.co/1HEEVsGAiT",http://twitter.com/PathForFreedom/status/1249801667458953218,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 14, 2020 at 08:28PM",@PathForFreedom,".@WHO covered up a pandemic. They are compromised and incapable of accountability. @POTUS @realDonaldTrump holds the lawless to account and saves taxpayers' money. @FoxNews 
https://t.co/CfpSVJd4cf",http://twitter.com/PathForFreedom/status/1250219462566883328,TRUE,TRUE,TRUE,1,FALSE,FALSE,TRUE,0
"April 14, 2020 at 08:52PM",@PathForFreedom,RT @WhiteHouse: President @realDonaldTrump is halting funding of the World Health Organization while a review is conducted to assess WHO's role in mismanaging the Coronavirus outbreak. https://t.co/jTrEf4WWj0,http://twitter.com/PathForFreedom/status/1250225429706731520,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 14, 2020 at 09:44PM",@PathForFreedom,"Check out my interview with @CherylToddGFR from @GunFreedomRadio all about #2A 

#2ndAmendment 

Here's a clip...

Watch the full interview here: https://t.co/9DFBW6hFsh https://t.co/sqeB7JpGWr",http://twitter.com/PathForFreedom/status/1250238650366840833,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 15, 2020 at 09:29PM",@PathForFreedom,"China waited six days to warn the world about the likely coronavirus pandemic. In other news, #China wants to export its #communist model to the world. No thanks!

We need to unite as a country behind @realDonaldTrump against this malicious regime. @GOP 
https://t.co/bQSiN1WJfQ",http://twitter.com/PathForFreedom/status/1250597174116638721,TRUE,,TRUE,1,FALSE,FALSE,TRUE,0
"April 16, 2020 at 01:45PM",@PathForFreedom,"I appreciate the support of our #Ranchers. Sections of new wall are going up as President Trump promised. Our Ranchers and @POTUS need a @GOP House to finish the job! #buildthewall #bordersecurity #USA

Can you help us WIN with a $5 donation? Donate here: https://t.co/p2ZeCgxyyn https://t.co/V3U3MyQ8fS",http://twitter.com/PathForFreedom/status/1250842643493294081,FALSE,,FALSE,0,FALSE,FALSE,FALSE,0
"April 16, 2020 at 06:16PM",@PathForFreedom,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/NB3LRIZHI7,http://twitter.com/PathForFreedom/status/1250910939785752576,FALSE,,FALSE,0,FALSE,FALSE,FALSE,0
