date,handle,content,link,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
"April 01, 2020 at 08:00PM",@YoungKimCA,"I don’t agree with Pelosi on much, but we find common ground on this. I’ve been calling to remove the SALT deduction cap for the past 3 years -- it unfairly hurts California taxpayers. Congress should take this up as a clean bill to give taxpayers relief.
https://t.co/GZCKfmbH1P",http://twitter.com/YoungKimCA/status/1245501197286379521,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 01, 2020 at 09:40PM",@YoungKimCA,"As our region sees more infections from the coronavirus, we all must continue to do our part. We are here for each other and are all in this together. A special thank you to all of our healthcare professionals risking their lives to keep us safe. https://t.co/jSOnhZNeR1",http://twitter.com/YoungKimCA/status/1245526469654138882,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 02, 2020 at 08:00PM",@YoungKimCA,"Huge thanks to the @USNavy.
Having the #USNSMercy up and running is a real help for our medical first responders! 
https://t.co/6LQCru2yUE",http://twitter.com/YoungKimCA/status/1245863584355188738,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 02, 2020 at 10:14PM",@YoungKimCA,"In our current situation, international coordination to combat the coronavirus is essential. It's important to learn best practices from those governments who have most successfully responded to this health challenge. At the top of this list is Taiwan. https://t.co/YIWyqm2isP",http://twitter.com/YoungKimCA/status/1245897384845955073,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 02, 2020 at 10:14PM",@YoungKimCA,The effectiveness of the Taiwanese response is all the more impressive given that it’s not a member of the World Health Organization. The world can learn from Taiwan.,http://twitter.com/YoungKimCA/status/1245897386183933959,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 03, 2020 at 08:00PM",@YoungKimCA,"It’s impossible to predict when a crisis will strike. In the State Assembly, I co-authored a bill that would have made 3 mobile field hospitals ready for deployment in times like this. Let’s make sure we’re prepared for the next national emergency. https://t.co/rCb7YfU9SB",http://twitter.com/YoungKimCA/status/1246225974506582016,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 03, 2020 at 10:34PM",@YoungKimCA,"COVID-19 testing sites are now open in LA County, including one at the Pomona Fairplex. Testing is by appointment only for residents of LA County who are at high-risk and most vulnerable. Please visit https://t.co/ij4kmN94wh for more information.",http://twitter.com/YoungKimCA/status/1246264902580195328,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 04, 2020 at 07:33PM",@YoungKimCA,"While talking to people across #CA39 I have continued to receive questions about resources for families, businesses, how to give back &amp; so much more. To address these questions our campaign has put together an info page on our website. Check it out here: https://t.co/wY27RSeK4a https://t.co/DKSj9wMhjW",http://twitter.com/YoungKimCA/status/1246581797460119554,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 04, 2020 at 08:00PM",@YoungKimCA,"If you are exposed to #COVID19 it's important to take the necessary precautions to avoid infecting the rest of your household:
1. Prepare in advance
2. Isolate 
3. Cover up and disinfect
4. Keep everyone else from getting sick
https://t.co/wjuVz2y4az",http://twitter.com/YoungKimCA/status/1246588360799522816,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 04, 2020 at 08:00PM",@YoungKimCA,"Finding affordable housing in California is hard enough as it is. Adding the pressure of a global pandemic is bringing many California families to the breaking point. Thankfully, many banks are lending a hand.
https://t.co/gbsNCSbjYC",http://twitter.com/YoungKimCA/status/1246588361328005126,FALSE,FALSE,,0,FALSE,FALSE,,0
