date,handle,content,link,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
"April 02, 2020 at 10:46PM",@GregRaths,I just joined Team Raths! Join Greg Raths and become a campaign co-pilot. Together we can elect an exceptionally qualified leader for Congress.,http://twitter.com/GregRaths/status/1245905393810722817,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 02, 2020 at 11:42PM",@GregRaths,RT @michaeljknowles: 10 million Americans lost their jobs in two weeks because of China.,http://twitter.com/GregRaths/status/1245919538979323906,TRUE,FALSE,,1,FALSE,FALSE,,0
"April 02, 2020 at 11:42PM",@GregRaths,RT @FLOTUS: This evening @WhiteHouse is lit blue in honor of #WorldAutismAwarenessDay https://t.co/rFkGL2i6ME,http://twitter.com/GregRaths/status/1245919600186806272,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 07, 2020 at 10:10PM",@GregRaths,Volunteers keep our community Mission Viejo Strong https://t.co/ALiRblWBls via @YouTube,http://twitter.com/GregRaths/status/1247708422855950341,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 08, 2020 at 07:12AM",@GregRaths,"RT @USMC: Sixteen years ago, today, one of the most significant battles of the war in Iraq began – the Battle of Ramadi. https://t.co/466Y87YneH",http://twitter.com/GregRaths/status/1247844749307863040,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 08, 2020 at 07:13AM",@GregRaths,RT @FLOTUS: https://t.co/3KXrAP0A35,http://twitter.com/GregRaths/status/1247845014111244290,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 08, 2020 at 07:21AM",@GregRaths,Greg Raths for Congress - Quality Healthcare https://t.co/wPju3dS7C3 via @YouTube,http://twitter.com/GregRaths/status/1247847119202877441,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 08, 2020 at 01:07PM",@GregRaths,Here are final results for primary election in Orange County https://t.co/zSUzaHyXJ5,http://twitter.com/GregRaths/status/1247934163883159557,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 09, 2020 at 11:04PM",@GregRaths,"RT @USMC: Welcome aboard, Sir. https://t.co/n36Pgx12kl",http://twitter.com/GregRaths/status/1248446814677696514,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 09, 2020 at 11:04PM",@GregRaths,"RT @USMC: #OTD in 1959, Marine Corps Lt. Col. John Glenn made history when @NASA announced his selection as one of the nation’s first seven astronauts. https://t.co/jlKhsCk0XN",http://twitter.com/GregRaths/status/1248446836941008902,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 09, 2020 at 11:05PM",@GregRaths,"RT @millanpatterson: As we honor our nation’s former POW’s today, let us never forget the conditions they lived with, the cause they fought for, and the flag they stood for. God bless them! https://t.co/V5oHLGkL94",http://twitter.com/GregRaths/status/1248446899863998465,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 10, 2020 at 10:47PM",@GregRaths,"RT @FLOTUS: As the CDC continues to study the spread of the COVID-19, they recommend people wear cloth face coverings in public settings where social distancing measures can be difficult to maintain. Remember, this does not replace the importance of social distancing. https://t.co/eF3o33CUVS",http://twitter.com/GregRaths/status/1248804784267595776,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 10, 2020 at 10:48PM",@GregRaths,"RT @realDonaldTrump: On National Former Prisoner of War Recognition Day, we honor the more than 500,000 American warriors captured while protecting our way of life. We pay tribute to these Patriots for their unwavering and unrelenting spirit! https://t.co/KOI7Qd1pZx",http://twitter.com/GregRaths/status/1248805089248067584,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 10, 2020 at 11:23PM",@GregRaths,"Federal Data: 16.4M Mail-In Ballots Went Missing in 2016, 2018 Elections https://t.co/JzZhJpXc6h via @BreitbartNews",http://twitter.com/GregRaths/status/1248813994585886721,FALSE,FALSE,,0,FALSE,FALSE,,0
