date,handle,content,link,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
"April 05, 2020 at 06:03PM",@House4CO,"As we self isolate due to #COVID, many of us are feeling the loss of shared grace &amp; blessings of religious gatherings.

Be strong, the faith we hold in ourselves &amp; in each other can be a beacon of hope.

We will come back, better than ever before! #Faith #SundayService #CD6 https://t.co/8w8VLphSOs",http://twitter.com/House4CO/status/1246921467779895296,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 06, 2020 at 11:23AM",@House4CO,"YOU’RE INVITED — We’re discussing the future of America’s #healthcare policy &amp; how it affects you &amp; your family.

https://t.co/gLpU2ghjHg

It is time for a patient-centered approach that increases access, lowers costs &amp; protects our most vulnerable population. #CD6 #CoPolitics https://t.co/NY8cN7RSFA",http://twitter.com/House4CO/status/1247183218962399232,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 06, 2020 at 06:37PM",@House4CO,"We look forward to discussing the latest research surrounding the #COVID pandemic and the early positive medical data. 

YOU’RE INVITED to this important interactive event Tuesday at 4:30pm mountain time at https://t.co/Oq1vPjsCZH. #CD6 https://t.co/sEyGdTHNIe https://t.co/qzvk9D3iEa",http://twitter.com/House4CO/status/1247292249936805889,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 06, 2020 at 09:08PM",@House4CO,"Continue to be humbled by the faith &amp; confidence #CD6 delegates showed our campaign... 

ICYMI — “Republican Steve House on Saturday won the nomination to take on U.S. Rep. Jason Crow...” https://t.co/ZMpbHsVOie",http://twitter.com/House4CO/status/1247330298787856384,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 07, 2020 at 08:25PM",@House4CO,"Thank you to everyone who joined our COVID: Virtual Town Hall. We appreciated each question and your participation. 

We look forward to more town halls in the future to discuss the topics Colorado families care about. #CD6 #CoPolitics #COVID 

WATCH: https://t.co/G6fOLsMEVJ https://t.co/dhecKyByOO",http://twitter.com/House4CO/status/1247682008832045057,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 08, 2020 at 05:29PM",@House4CO,"This Passover, when many of faith ask “Why is this night different from all other nights,” we remember that #Passover &amp; #Easter continue despite #COVID separation.

All Americans of faith continue to be bound by strong circles of tradition that no virus can tear apart. Blessings! https://t.co/8dGLrBvH1b",http://twitter.com/House4CO/status/1248000105304559616,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 10, 2020 at 08:37AM",@House4CO,"Sign-Up to Volunteer!

Winning in November starts today!  Click here to join our team! https://t.co/dn3XRigcP5 

#CrowsGottaGo 
#CD6
@ColoGOP
@ArapahoeGOP 
@DougCOGOP 
@GOPDenver 
@GOPelpaso 
@GOP 
@GOPChairwoman
@NRCC 
@GOPLeader 
@RNCLatinos @GOP_RED2020 https://t.co/An7cSZtDsC",http://twitter.com/House4CO/status/1248590966425935872,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 10, 2020 at 09:46AM",@House4CO,"Just a few days before Easter and what a marvelous surprise... 

Thank you, little Lauren!  You are a wonder and a joy. ❤️ #Easter #Babies https://t.co/rM2XkWujf4",http://twitter.com/House4CO/status/1248608279703379970,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 12, 2020 at 10:09AM",@House4CO,"Happy Easter from our family to yours.

It’s not necessary to be a Christian to celebrate Easter’s hopefulness - A belief in transformational change, light conquering dark &amp; the knowledge we can &amp; will overcome adversity.

HAPPY EASTER — God bless you! #Easter #HeHasRisen #CD6 https://t.co/T7oEDZOxba",http://twitter.com/House4CO/status/1249338822749376513,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 14, 2020 at 07:12PM",@House4CO,"Colorado small businesses are beginning to receive much needed financial support for our economy on pause due to #COVID quarantining.  

CoBiz has received 28,469 loans totaling nearly $6 billion. More aid is coming. 

We will come back — Better than ever! #CD6 #CoPolitics https://t.co/dqinr0xrkP",http://twitter.com/House4CO/status/1250200265862426624,FALSE,FALSE,,0,FALSE,FALSE,,0
