date,handle,content,link,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
"April 06, 2020 at 03:05PM",@YoungForIowa,"Today kicks off #NationalPublicHealthWeek. As we continue to monitor the COVID-19 situation, please continue to take precautions &amp; stay informed. Visit @IAPublicHealth's website for more information: https://t.co/gTTIkfeYgX  #IA03 https://t.co/szg3Nc5NnD",http://twitter.com/YoungForIowa/status/1247238910842994694,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 06, 2020 at 07:02PM",@YoungForIowa,Check this out... Nancy Pelosi’s Super PAC just announced they booked $2.3 Million in #IA03 media markets (DSM &amp; Omaha) to boost Cindy Axne. Please donate today so we can fight back against the coming attacks! https://t.co/UJyJRGVJGK,http://twitter.com/YoungForIowa/status/1247298627002929154,FALSE,FALSE,,0,FALSE,TRUE,,1
"April 06, 2020 at 07:02PM",@YoungForIowa,You can donate to David at https://t.co/XvJ2NACy8N. #IA03,http://twitter.com/YoungForIowa/status/1247298628839968768,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 07, 2020 at 11:12AM",@YoungForIowa,"As we continue to fight this global pandemic, let's continue to stay cautious and informed! We can all do our part to protect each other, flatten the curve, and get through this together. #WorldHealthDay #IA03 https://t.co/LQ9FO9Y0Hu",http://twitter.com/YoungForIowa/status/1247542668902580224,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 08, 2020 at 02:34PM",@YoungForIowa,I took a break from digital meetings and calls to grab some curbside lunch from the Drake Diner! Thanks to all of our restaurant servers for their hard work during these uncertain times. #IA03 https://t.co/F372ofPVhr,http://twitter.com/YoungForIowa/status/1247956027028525059,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 08, 2020 at 02:46PM",@YoungForIowa,I want to wish all of those celebrating a joyous Passover. https://t.co/htT5BSO34E,http://twitter.com/YoungForIowa/status/1247959029269377027,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 08, 2020 at 04:34PM",@YoungForIowa,National Wildlife Week presents a great opportunity for all ages to learn about animals and their habitats. Head to YouTube or other animal documentary websites and learn about the great wildlife roaming our lands! #IA03 https://t.co/RaW6pREnXv,http://twitter.com/YoungForIowa/status/1247986079673847809,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 09, 2020 at 10:50AM",@YoungForIowa,"Today, on Former Prisoner of War Recognition Day, join me in recognizing and honoring the many brave men and women who have served our country and paid an incredible price for our freedom. #IA03 https://t.co/QHFkRjHOPO",http://twitter.com/YoungForIowa/status/1248261907225686016,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 09, 2020 at 08:46PM",@YoungForIowa,"Thanks to our friends from Adams County for hopping on Zoom tonight! We talked about our campaign, and what they are hearing and seeing in Adams County. #IA03 https://t.co/wXzF3dZcGA",http://twitter.com/YoungForIowa/status/1248411957780045825,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 10, 2020 at 01:45PM",@YoungForIowa,Wishing all of you a blessed #GoodFriday.  #IA03 https://t.co/PB2tDIaSXE,http://twitter.com/YoungForIowa/status/1248668342476509186,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 11, 2020 at 03:09PM",@YoungForIowa,Grabbing a bite to eat from the  @IowaStateFair favorite @gmigspub. Thank you for providing curbside service  and great food in Valley Junction! #IA03 https://t.co/JyeJWcKfr1,http://twitter.com/YoungForIowa/status/1249051949716123648,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 12, 2020 at 11:52AM",@YoungForIowa,"He is Risen! To you and yours, have a safe and happy #Easter. #IA03 https://t.co/qH1PvmrlMC",http://twitter.com/YoungForIowa/status/1249364669921443840,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 13, 2020 at 04:36PM",@YoungForIowa,"Want to get on our list to have a yard sign? Head to my Grassroots Team page, fill out the form and check the ""Yard Sign"" box! #IA03 https://t.co/0kJTvEzN2J",http://twitter.com/YoungForIowa/status/1249798514923704320,FALSE,FALSE,,0,FALSE,FALSE,,0
