date,handle,content,link,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
"April 05, 2020 at 04:51PM",@JeanneIves,"This week Sean Casten and his allies on the political left took to social media to exploit the Coronavirus pandemic for political gain. On Saturday, Sean Casten tweeted out, “To bet on Trump is to bet against the American people.” #IL06 #twill https://t.co/w7xi36jvru",http://twitter.com/JeanneIves/status/1246903219839799296,TRUE,TRUE,,1,FALSE,FALSE,,0
"April 05, 2020 at 04:51PM",@JeanneIves,"Indivisible DuPage, an organization that openly supports Casten &amp; w/whom he worked closely to get elected -  followed up with a Facebook graphic that strings together a series of charges to accuse Republicans of 'killing Americans.' #IL06 #twill https://t.co/7gA1Ps03cH",http://twitter.com/JeanneIves/status/1246903222012448773,TRUE,TRUE,,1,FALSE,FALSE,,0
"April 05, 2020 at 04:51PM",@JeanneIves,"“In one weekend, Sean Casten equated those who voted for President Trump with traitors, and Indivisible DuPage called hundreds of thousands of good people in the 6th District killers. Killers. #IL06 #twill",http://twitter.com/JeanneIves/status/1246903225325887494,TRUE,TRUE,,1,FALSE,FALSE,,0
"April 05, 2020 at 04:51PM",@JeanneIves,"This is the most extreme and divisive rhetoric at a time when all Americans are fearful about their futures and their well-being,” said Jeanne Ives, a candidate for Congress in IL-06. “I am offended, as a veteran, a military mom, and a citizen. We all should be offended. #IL06",http://twitter.com/JeanneIves/status/1246903226823323649,TRUE,FALSE,,1,FALSE,FALSE,,0
"April 05, 2020 at 04:51PM",@JeanneIves,"Everyone is concerned about the health and the economic cost of this crisis. Regardless of party or political beliefs, our leaders should be working together to ensure we get past this pandemic and get American workers back on the job - not stoking anger, fear and division. #IL06",http://twitter.com/JeanneIves/status/1246903229629247489,TRUE,FALSE,,1,FALSE,FALSE,,0
"April 05, 2020 at 04:51PM",@JeanneIves,"“Where is the media on this? Why haven’t they pushed back on the exploitation of the pandemic by Democrats in the same rigorous way they cover Republicans? If it matters what Trump says intemperately, then it matters what Casten says ignorantly. #IL06 #twill",http://twitter.com/JeanneIves/status/1246903231034396674,TRUE,FALSE,,1,FALSE,FALSE,,0
"April 05, 2020 at 04:51PM",@JeanneIves,"""In a crisis, character matters most. And Sean Casten and Indivisible DuPage are certainly showing their true character."" #IL06 #twill",http://twitter.com/JeanneIves/status/1246903232456282115,TRUE,TRUE,,1,FALSE,FALSE,,0
"April 06, 2020 at 12:31PM",@JeanneIves,"While Sean Casten focuses on political attacks, Jeanne Ives focused on the nation’s problem-solving spirit. 

This morning, she released a new ad, illustrating her campaign theme: Americans have the ingenuity, compassion &amp; grit to solve our toughest challenges. #Il06   #twill https://t.co/NM5FhVRI0o",http://twitter.com/JeanneIves/status/1247200233739747328,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 06, 2020 at 02:56PM",@JeanneIves,"I agree with the President: we need a deadline for reopening businesses and restarting our economy. Even if that date’s months away, a hard date gives businesses something to plan towards, and something for working Americans to look forward to. https://t.co/Y0MlESFJj7",http://twitter.com/JeanneIves/status/1247236639618990080,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 06, 2020 at 03:37PM",@JeanneIves,"When Rep. Sean Casten (IL-06) said his top priorities are, “Climate Change, Climate Change and Climate Change,” he wasn’t joking.  #twill #IL06

https://t.co/8cGGfjc2sm",http://twitter.com/JeanneIves/status/1247247027110584323,FALSE,FALSE,,0,TRUE,TRUE,,1
"April 07, 2020 at 04:51PM",@JeanneIves,"For those of you in Illinois and around the country stuck inside due to the shutdown, there’s never been a better time to take an online course or pick up that book you’ve been meaning to get to. https://t.co/Eo0gQwX0At",http://twitter.com/JeanneIves/status/1247627967876009990,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 08, 2020 at 12:55PM",@JeanneIves,I am deeply concerned that our Governor and Democrats in Springfield are bungling our state response to COVID-19. The most important thing that we seem to be lacking is regular and accurate updates about the number of cases we are dealing with and this needs to be fixed now! https://t.co/msg3iVydOR,http://twitter.com/JeanneIves/status/1247931026996944897,FALSE,TRUE,,1,FALSE,FALSE,,0
"April 08, 2020 at 02:11PM",@JeanneIves,A timeline of Sean Casten's response to the COVID-19 Crisis. #twill #Il06 #COVID19 https://t.co/yA6uCNgqeA,http://twitter.com/JeanneIves/status/1247950253220864003,TRUE,TRUE,,1,FALSE,FALSE,,0
"April 09, 2020 at 02:52PM",@JeanneIves,Mayor Lightfoot cannot bury her head in the sand about Chicago’s finances. She must do more to prepare the city for the significant loss of tax revenue. She’s already dismissing calls for a “wartime financial plan.” This lack of preparation is troubling and more must be done! https://t.co/NHqspva748,http://twitter.com/JeanneIves/status/1248322796343693312,FALSE,FALSE,,0,TRUE,FALSE,,1
"April 10, 2020 at 03:41PM",@JeanneIves,"Illinois had years to fix the problems with our unemployment fund after the 2008 financial crisis. And yet Democrats in Springfield continued to kick the can down the road. Now as we face the fallout from COVID-19, it will likely require more federal bailouts to stay solvent. https://t.co/AVgu2dPA8b",http://twitter.com/JeanneIves/status/1248697515484028930,TRUE,TRUE,,1,FALSE,FALSE,,0
"April 11, 2020 at 12:25PM",@JeanneIves,"While families were waiting for Congress to pass the CARES Act, Sean Casten was pushing his climate agenda. Worst of all Sean is invested in the companies that would have gotten the subsidies of your tax dollars. He betrayed the trust of his constituents. This can't happen again. https://t.co/IZu98bz9TS",http://twitter.com/JeanneIves/status/1249010580750508032,FALSE,FALSE,,0,TRUE,TRUE,,1
"April 12, 2020 at 03:32PM",@JeanneIves,"From my family to yours, we wish you a safe and happy Easter. While we may not be gathering today, it is still a time to pray, reflect and give thanks for what we have. God Bless America, our great state and all those continuing to work through the holiday to keep families safe! https://t.co/tecdkphQpa",http://twitter.com/JeanneIves/status/1249420024625934337,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 13, 2020 at 12:15PM",@JeanneIves,"During these hard times, Sean Casten is making this about politics. He accuses conservatives of betraying their country &amp; affiliates himself with radical groups who have accused ALL conservatives of killing Americans. We need to remove him from office in November. https://t.co/EeL6RwFDkw",http://twitter.com/JeanneIves/status/1249732857909645313,FALSE,FALSE,,0,TRUE,TRUE,,1
"April 14, 2020 at 12:38PM",@JeanneIves,Our COVID-19 Resources page has been updated with new information. Get the latest here: https://t.co/iRdzYdsmI0,http://twitter.com/JeanneIves/status/1250101144854159360,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 14, 2020 at 02:51PM",@JeanneIves,Jeanne Ives has proposed a 12% property tax deduction as part of #COVID Relief. https://t.co/MfLhOunZmN,http://twitter.com/JeanneIves/status/1250134622450696192,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 14, 2020 at 04:28PM",@JeanneIves,"Democrats - including Dr. Fauci -  knew that COVID-19 was coming in January. And yet they wasted our country’s time on impeachment instead. They should have been preparing our response, but they played political games and tried to divide our country. Absolutely ridiculous! https://t.co/zjqai1mgfd",http://twitter.com/JeanneIves/status/1250158894976040969,TRUE,TRUE,,1,FALSE,FALSE,,0
"April 15, 2020 at 01:00PM",@JeanneIves,"While Bernie may not be running for President anymore, his  socialist agenda is still going strong. Sean Casten and AOC are just two of the frontrunners to take up his mantle in the future! Bernie has pushed the Democrats further left than ever before and we must stop them! https://t.co/viLzgaH1bS",http://twitter.com/JeanneIves/status/1250469089455243264,FALSE,FALSE,,0,TRUE,TRUE,,1
"April 15, 2020 at 06:22PM",@JeanneIves,"You can't trust everything you read in Chicago Media outlets. Here's a perfect example: the Daily Herald published a letter from a woman who completely misrepresented my position on social security. I'm setting the record straight.

https://t.co/zgD8Veer3l",http://twitter.com/JeanneIves/status/1250550011156475905,FALSE,FALSE,,0,TRUE,TRUE,,1
