date,handle,content,link,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
"April 07, 2020 at 10:06AM",@JimOberweis,"RT @AEI: Antivirals and antibody therapies are showing promise. The FDA needs to step up its pace, writes @ScottGottliebMD in @WSJopinion: https://t.co/Wwcr66bwxK",http://twitter.com/JimOberweis/status/1247526242636541955,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 07, 2020 at 04:51PM",@JimOberweis,"RT @CochranShow: For Ryan Dowd and his amazing staff at Hesed House get yourself some great ice cream from Oberweis this Tuesday

The dairy is donating 20% of fountain sales to @HesedHouse

Drive thru or curbside..you deserve it... and I promise you its for a great organization

Thank you! https://t.co/CFJAf4WBi5",http://twitter.com/JimOberweis/status/1247628019881119747,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 07, 2020 at 04:51PM",@JimOberweis,RT @AuroraILPatch: Oberweis Dairy launches fundraiser for Hesed House https://t.co/4cjNWldMBW,http://twitter.com/JimOberweis/status/1247628062969249792,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 07, 2020 at 04:56PM",@JimOberweis,"RT @WSJ: Deliveries are safer during the coronavirus pandemic, but sometimes a store visit is unavoidable. Here are the precautions to take.",http://twitter.com/JimOberweis/status/1247629248296337408,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 18, 2020 at 11:33AM",@JimOberweis,"RT @RepLeeZeldin: While @realDonaldTrump believes the enemy is coronavirus, @SpeakerPelosi believes the enemy is Pres Trump. In order to defeat COVID-19, we must have a clear head &amp; united, common purpose to confront and end this pandemic. #FundPPP https://t.co/pp50vZ12aB",http://twitter.com/JimOberweis/status/1251534234264756225,TRUE,TRUE,,1,FALSE,FALSE,,0
"April 18, 2020 at 11:33AM",@JimOberweis,"RT @RepLeeZeldin: The Speaker needs to stop viewing this as GOP v Dem, Red v Blue, &amp; Trump v anti-Trump. We're Americans first &amp; we're in this TOGETHER. Knock off the petty partisan politics. This is a time to be NON-partisan &amp; do whatever needs to be done to get our country through this pandemic.",http://twitter.com/JimOberweis/status/1251534272969793538,FALSE,TRUE,,1,FALSE,FALSE,,0
"April 18, 2020 at 11:33AM",@JimOberweis,"RT @Surgeon_General: We are in the midst of an unprecedented crisis.  #COVID19 is not only attacking us physically, but emotionally and spiritually. But America is strong, and if we work together, I know we will persevere. Please stay safe, stay connected, and ❤️ each other.
 https://t.co/8TwbZD3eAG",http://twitter.com/JimOberweis/status/1251534314359140352,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 18, 2020 at 11:34AM",@JimOberweis,RT @RepGregMurphy: Now we are in day 3 of small businesses having no recourse through the PPP because of @SpeakerPelosi's and @SenSchumer's partisan games. Their actions are disgraceful and an affront to the hard working small business owners of America.,http://twitter.com/JimOberweis/status/1251534489978908675,FALSE,TRUE,,1,TRUE,FALSE,,1
"April 18, 2020 at 03:47PM",@JimOberweis,"@nancypelosi needs to get back to DC - to help save small businesses &amp; jobs - since she loves ice cream I will buy her ice cream at any Oberweis Dairy store in 2020 or anytime she campaigns for @LaurenUnderwood - Stop hurting small businesses, help @realDonaldTrump save jobs! https://t.co/zQycmaYdbp",http://twitter.com/JimOberweis/status/1251598149195530240,FALSE,FALSE,,0,TRUE,FALSE,,1
"April 18, 2020 at 05:00PM",@JimOberweis,"RT @JohnLopezIL: Between @SpeakerPelosi praising @NEAarts for its $75M in #CARESAct &amp; #Pelosi showing off her gourmet ice cream stash in video interview w/ @JKCorden, @JimOberweis has an offer that #IceCreamNancy can't refuse through @OberweisDairy when she campaigns in #IL14 for @LaurenUnderwood https://t.co/7VeCpiRfZ6 https://t.co/6Y6P8RD3Ea",http://twitter.com/JimOberweis/status/1251616708986654728,FALSE,FALSE,,0,TRUE,FALSE,,1
"April 18, 2020 at 07:48PM",@JimOberweis,"RT @CortesSteve: Today’s MAGA Minute video: the Chinese Communist Party’s propaganda operation meddles in our election &amp; now openly campaigns against Pres Trump

Why do they prefer Biden as president? Consider this timeline of his appeasement &amp; complicity w/ the CCP...

#BeijingBiden
#MAGAminute https://t.co/jBa1ploeJt",http://twitter.com/JimOberweis/status/1251658900203544576,FALSE,FALSE,,0,TRUE,TRUE,,1
"April 18, 2020 at 08:01PM",@JimOberweis,"RT @CatalinaLauf: If you’re a registered nurse why aren’t you helping our district on the front lines? Attempting to shed light on an issue that pushes your agenda of Medicare-for-all is not only opportunistic, its clear what’s on your priority list — even more concerning during time of crisis. https://t.co/qwkrSLyHXH",http://twitter.com/JimOberweis/status/1251662176638636032,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 18, 2020 at 08:07PM",@JimOberweis,"RT @newtgingrich: A few more Pelosi ice cream-eating, luxurious lifestyle appearances while she’s killing small business will make the election this fall a referendum on “the Job-Killing, Ice Creaming-Eating Liberal Democrats.”
https://t.co/Ifdvl4ZmDE",http://twitter.com/JimOberweis/status/1251663684973350912,FALSE,FALSE,,0,TRUE,TRUE,,1
"April 18, 2020 at 08:12PM",@JimOberweis,"RT @charliekirk11: Tune in NOW to @TeamTrump Online with @LaraLeaTrump!

We talk China, the WHO, and the insane enthusiasm gap between @realDonaldTrump and Joe Biden

WATCH: https://t.co/wFIUTOzGbl",http://twitter.com/JimOberweis/status/1251664934456434688,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 18, 2020 at 08:52PM",@JimOberweis,"RT @RedState: Surprise: CNN Anchor Says Congress Needs to 'Wake Up,' Pass Paycheck Protection Program Refunding Bill https://t.co/b61NFsnCaU",http://twitter.com/JimOberweis/status/1251674882187853825,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 19, 2020 at 12:49AM",@JimOberweis,RT @Scavino45: Congrats @AF_Academy graduates! https://t.co/8eADxRPFmn,http://twitter.com/JimOberweis/status/1251734614277787652,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 19, 2020 at 10:13PM",@JimOberweis,RT @SteveGuest: Fox News' Chris Wallace calls out Nancy Pelosi for promoting tourism during the coronavirus pandemic https://t.co/tkhte8qRYD,http://twitter.com/JimOberweis/status/1252057649157472257,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 20, 2020 at 12:54PM",@JimOberweis,Good to see these get to the hospitals in need! https://t.co/7jQ3kM1mWK,http://twitter.com/JimOberweis/status/1252279478774095872,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 21, 2020 at 04:20PM",@JimOberweis,"RT @ElectLaHood: #COVID19 did not create Illinois’ pension crisis; it illuminated one that already existed. The federal gov’t should not bail out Illinois’ fiscal mismanagement. 

Congress should focus on helping Illinois workers, small biz, and health care professionals.
https://t.co/F0KWo5MtxD",http://twitter.com/JimOberweis/status/1252693756152893440,FALSE,FALSE,,0,TRUE,FALSE,,1
"April 24, 2020 at 02:20PM",@JimOberweis,Thank you @realDonaldTrump for your leadership helping small businesses through the essential PPP program! I look forward to helping you next year in Congress! #jim2020 #IL14,http://twitter.com/JimOberweis/status/1253750720173682688,,,,,,,,
"April 24, 2020 at 02:36PM",@JimOberweis,RT @WhiteHouse: President @realDonaldTrump just signed the bill providing $320 billion to refill the Paycheck Protection Program! https://t.co/UtrjLU9btx,http://twitter.com/JimOberweis/status/1253754783460179968,,,,,,,,
"April 24, 2020 at 03:15PM",@JimOberweis,"RT @DanCrenshawTX: The lies and coverup by President Xi and the Chinese Communist Party allowed coronavirus to spread across the world. So how do we make China pay? 

Read my latest op-ed with @TomCottonAR

https://t.co/1Nhn8PLJ7f",http://twitter.com/JimOberweis/status/1253764525645586437,,,,,,,,
"April 24, 2020 at 03:28PM",@JimOberweis,RT https://t.co/GtADqWVilR,http://twitter.com/JimOberweis/status/1253767767347597312,,,,,,,,
"April 24, 2020 at 03:28PM",@JimOberweis,"RT @marcorubio: #PPPloans have helped over 1.6 million #smallbusiness owners keep workers on payroll. Here is just some of what they are saying about the impact of #PPP

https://t.co/rtDW3xtYKw https://t.co/7VPF8qK5RW",http://twitter.com/JimOberweis/status/1253767865213366272,,,,,,,,
"April 24, 2020 at 03:32PM",@JimOberweis,"RT @CDCgov: If you have #COVID19 symptoms &amp; want to get tested, call your medical provider first. You can also visit your state or local health department’s website to look for local information on testing. Learn more: https://t.co/QzWiGudFga. https://t.co/K0EMuMMX8f",http://twitter.com/JimOberweis/status/1253768780796383232,,,,,,,,
"April 24, 2020 at 03:50PM",@JimOberweis,Fake Nurse @laurenunderwood failed to replenish the national PPE stockpile during her time in the Obama Admin. #IL14 #Jim2020 https://t.co/ynvC5jdFQc,http://twitter.com/JimOberweis/status/1253773234144714752,,,,,,,,
"April 24, 2020 at 04:09PM",@JimOberweis,"RT @NRCC: Fake Nurse @LaurenUnderwood seems to have some guilt that in her previous job for the Obama admin she dropped the ball and didn't bother restocking our national PPE supply. #IL14 

&gt;&gt;&gt; https://t.co/wedn2ZEqvO https://t.co/XLhDysKHZy",http://twitter.com/JimOberweis/status/1253778174737088512,,,,,,,,
"April 24, 2020 at 04:25PM",@JimOberweis,"RT @WhiteHouse: #BeBest care packages are on their way to hospitals across the country! A small token of appreciation from @FLOTUS for their hard work, compassion, and kindness during these difficult times. https://t.co/C2V0kskUCk",http://twitter.com/JimOberweis/status/1253782256826617858,,,,,,,,
"April 25, 2020 at 10:02AM",@JimOberweis,"RT @GOPLeader: While President @realDonaldTrump works to save America, Democrats have only been concerned with:
⦾ Impeachment
⦾ Investigations
⦾ Ice cream",http://twitter.com/JimOberweis/status/1254048247229943809,,,,,,,,
"April 27, 2020 at 12:34PM",@JimOberweis,"RT @ScottPresler: 12 Republicans you can support now:

CA07: @BuzzPatterson
CA10: @Ted_Howze
CA21: @dgvaladao
CA39: @YoungKimCA
CA45: @GregRaths
CA48: @MichelleSteelCA
IL14: @JimOberweis
NJ11: @Becchi4Congress
NY22: @claudiatenney
PA17: @SeanParnellUSA
TX07: @WesleyHuntTX
TX32: @gcforcongress",http://twitter.com/JimOberweis/status/1254811093215719424,,,,,,,,
"April 27, 2020 at 12:37PM",@JimOberweis,"RT @DanCrenshawTX: Let’s note: Pelosi promoted “No Ban Act” legislation that *same day* - which would limit presidential power to restrict travel. 

Now saying she would’ve stopped US citizens from being repatriated? Because those were the travelers she’s saying we should have “shut the door” on. https://t.co/X285Lu4kOU",http://twitter.com/JimOberweis/status/1254811912589709314,,,,,,,,
