date,handle,link,content,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
"April 06, 2020 at 02:44PM",@esther4congress,http://twitter.com/esther4congress/status/1247233833834930179,"Tune in a 5:30 TONIGHT via Instagram Live for a conversation with Aadi Bhanti (@politicalbhanti). At just 16, he's a successful entrepreneur, political blogger, and co-founder of Source to Table. Don't forget to FOLLOW US ON INSTAGRAM &gt;&gt; https://t.co/9CGdeYMvw3 https://t.co/Ms8wLLeIgi",FALSE,FALSE,,0,FALSE,FALSE,,0
"April 07, 2020 at 03:26PM",@esther4congress,http://twitter.com/esther4congress/status/1247606786955317249,"Thank you to CA...but when the CA Dem Governor has to come to Illinois rescue, it means the Democrat leaders  in our state aren’t doing their job - we need change. #IL17 #Illinois #COVID19 https://t.co/jKIIQSctpE",TRUE,FALSE,,1,FALSE,FALSE,,0
"April 07, 2020 at 11:54PM",@esther4congress,http://twitter.com/esther4congress/status/1247734561003442177,Thank you to everyone who protects  our health. #WorldHealthDay https://t.co/u064LLcDuo,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 08, 2020 at 12:03AM",@esther4congress,http://twitter.com/esther4congress/status/1247736849076011009,RT @kwqcnews: Severe Thunderstorm Warning Knox County https://t.co/jKhgBCFJkU,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 08, 2020 at 02:15PM",@esther4congress,http://twitter.com/esther4congress/status/1247951267567005696,"Tune in via Facebook Live tonight at 5:30 CT for a conversation with Illinois State Legislator Neil Anderson! Find out what we can expect for the legislative session this year, what our first responders are experiencing right now, and more. #facebooklive #IL17 https://t.co/IpXmTcEgg0",FALSE,FALSE,,0,FALSE,FALSE,,0
"April 08, 2020 at 07:01PM",@esther4congress,http://twitter.com/esther4congress/status/1248023263806025729,Wishing all of my Jewish friends here in #IL17 and across the country a happy Passover beginning tonight. #HappyPassover #ChagPesachSamech https://t.co/QWfDY1kcYS,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 09, 2020 at 12:05PM",@esther4congress,http://twitter.com/esther4congress/status/1248280812472033282,"DC Democrat leaders are playing games, and failing workers and small business. We are feeling it locally here in Illinois. Time for change https://t.co/xVwmrdl8RT #smallbusiness #workers #Illinois #IL17 #Election2020",FALSE,FALSE,,0,TRUE,TRUE,,1
"April 09, 2020 at 12:20PM",@esther4congress,http://twitter.com/esther4congress/status/1248284774676004864,"RT @GOPLeader: Disappointing and disgusting.

17 million Americans have lost their jobs in three weeks. And yet Democrats just blocked critical aid for small businesses.",FALSE,FALSE,,0,TRUE,TRUE,,1
"April 09, 2020 at 08:03PM",@esther4congress,http://twitter.com/esther4congress/status/1248401174140575744,"Democrat Governors across the country are working with @realDonaldTrump for the American people, yet House Democrats can’t or won’t. Time for change. https://t.co/5gYcyZrhxB @NRCC #2020election #IL17",FALSE,FALSE,,0,TRUE,TRUE,,1
"April 12, 2020 at 12:56PM",@esther4congress,http://twitter.com/esther4congress/status/1249380831317184512,"Hallelujah He is Risen! Today and everyday share  the good news. From me to you, Happy Easter! #HappyEaster #ResurrectionSunday #HeisRisen https://t.co/vc744mi7k9",FALSE,FALSE,,0,FALSE,FALSE,,0
"April 14, 2020 at 10:20AM",@esther4congress,http://twitter.com/esther4congress/status/1250066465052667904,Small business helps drive our economy. Tune in today at 2pm as I talk to Valerie at Entwined Boutique in #BishopHill. #FBLive #TuesdayMotivation #smallbusiness #Illinois #IL17 https://t.co/VS3Kmfm0Gd,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 17, 2020 at 03:29PM",@esther4congress,http://twitter.com/esther4congress/status/1251231370543869954,The Springfield Armory is stepping up in a big way to help with #PPE needs 👏👏👏. Cooperation is great in action! https://t.co/Fnnpx9UG4N #Covid_19 #Illinois #HenryCounty,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 22, 2020 at 08:52AM",@esther4congress,http://twitter.com/esther4congress/status/1252943300077645824,RT @realDonaldTrump: I have instructed the United States Navy to shoot down and destroy any and all Iranian gunboats if they harass our ships at sea.,FALSE,FALSE,,0,FALSE,TRUE,,1
"April 22, 2020 at 08:31PM",@esther4congress,http://twitter.com/esther4congress/status/1253119289944453120,"Happy #EarthDay2020! Farmers, sportsmen, hunters, hikers, boaters, animal lovers, kayakers, &amp; bird watchers—you. We have a responsibility to make sure we are being environmentally responsible. #IL17 https://t.co/q3FDymnSdd",FALSE,FALSE,,0,FALSE,FALSE,,0
"April 24, 2020 at 10:50AM",@esther4congress,http://twitter.com/esther4congress/status/1253697895267627008,"It’s okay to be all three. Where are you? 
#IL17 #Allin #EstherforCongress #Esther4Congress #EstherJoyKing #illinois #Congress #IllinoisLife #politics #Election2020 #vote #campaign #GOP #GOPWomen #RepublicanWomen #WestCentralIllinois #NorthernIllinois #CentralIllinois https://t.co/tGWxLrPomk",FALSE,,,,FALSE,,,
"April 24, 2020 at 01:53PM",@esther4congress,http://twitter.com/esther4congress/status/1253743891318095872,"Boom! Thank you @realDonaldTrump for getting it DONE! This is big time help for thousands of WORKERS, farmers, and small business owners here in #Illinois #IL17 #POTUS #paycheckprotection https://t.co/s6RJ315KnM",FALSE,,,,FALSE,,,
"April 24, 2020 at 05:51PM",@esther4congress,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/mLfPSV05Lj,http://twitter.com/esther4congress/status/1253803877683650561,,,,,,,,
"April 26, 2020 at 12:44PM",@esther4congress,"Grace, brains, and beauty. Wishing the First Lady a very happy and blessed birthday from #IL17 https://t.co/7S0wmpw3wR",http://twitter.com/esther4congress/status/1254451203724861440,,,,,,,,
"April 26, 2020 at 05:04PM",@esther4congress,RT @pnjaban: EVERY JOB IN AMERICA IS ESSENTIAL.,http://twitter.com/esther4congress/status/1254516774042660864,,,,,,,,
"April 26, 2020 at 05:17PM",@esther4congress,"Mark your calendar! Tune in with me at MONDAY-5:30pm CT for a live conversation w/ Harmeet K. Dhillon (@pnjaban) – RNC  National Committeewoman &amp; First Amendment advocate. We will discuss her battle to defend #religiousliberty during #Covid_19, as well as #Election2020 https://t.co/ytPkQJcP3E",http://twitter.com/esther4congress/status/1254519937160196096,,,,,,,,
"April 27, 2020 at 10:39AM",@esther4congress,Help is on the way! Get in early &amp; contact your bank’s small business representative today! Let’s do this - more details at: https://t.co/Z5AlAiWmyc #Illinois #IL17 #PPPloan #PPP #paycheckprotection https://t.co/RBJk0vo21J,http://twitter.com/esther4congress/status/1254782325809754116,,,,,,,,
