date,handle,link,content,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
"April 08, 2020 at 03:42PM",@adkins_2020,http://twitter.com/adkins_2020/status/1247973188983816192,Getting the children of #KS03 engaged in the political process! 🇺🇸With schools closed due to #COVID19 these kids are getting hands on experience in the #BuilderBeliever community. Thanks to these sweet little helpers! https://t.co/ZuE1GwKrCA,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 08, 2020 at 06:31PM",@adkins_2020,http://twitter.com/adkins_2020/status/1248015728575275009,"I hope everyone has a blessed and happy Passover! Faith gives us hope during the difficult times we are in, and my family and I want to wish everyone in #KS03 and beyond a wonderful Passover celebration https://t.co/8aacwMVySg",FALSE,FALSE,,0,FALSE,FALSE,,0
"April 09, 2020 at 06:11PM",@adkins_2020,http://twitter.com/adkins_2020/status/1248373095829630981,"Visit my #COVID19 resource page for updates based on recent conversations with #KS03 healthcare leaders. One theme rises to the top – our neighbors expect a real plan for the health of our community and economic growth.  

https://t.co/pkYZ4Be9HJ https://t.co/isszky3PuA",TRUE,FALSE,,1,FALSE,FALSE,,0
"April 09, 2020 at 06:11PM",@adkins_2020,http://twitter.com/adkins_2020/status/1248373097616433156,"We will get back to business and open churches if we first support providers to protect the health of our community and flatten the trend. We are a #BuilderBeliever community and together we will succeed in these challenging times.

We are in this together.",FALSE,FALSE,,0,FALSE,FALSE,,0
"April 10, 2020 at 11:40AM",@adkins_2020,http://twitter.com/adkins_2020/status/1248636960584990724,"Today we remember and reflect on the ultimate sacrifice Christ made for us. Let this Good Friday serve as a reminder that even in dark times, there is hope on the way. https://t.co/cnzIInWWTi",FALSE,FALSE,,0,FALSE,FALSE,,0
"April 11, 2020 at 09:45PM",@adkins_2020,http://twitter.com/adkins_2020/status/1249151575131672578,RT @amanda_adkins: Check out a pre-Easter celebration eating a family favorite Feijoada and talking about the Brazilian icon Christ the Redeemer statue representing the country’s great faith. Many blessings as Christ is risen. #KS03  #CosmicFoodAdventure  #HappyEaster  #Foodie  #Grateful https://t.co/H9my6OU6eG,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 12, 2020 at 11:16AM",@adkins_2020,http://twitter.com/adkins_2020/status/1249355828257267712,He is risen! Happy Easter everyone! https://t.co/FMRdteTe4c,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 14, 2020 at 07:10PM",@adkins_2020,http://twitter.com/adkins_2020/status/1250199845043933184,RT @amanda_adkins: #covid19 is not stopping the #KS03 Kansas City community from supporting local business even while social distancing. Because we are a  #builderbeliever community! https://t.co/60c3BVCiVQ,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 14, 2020 at 07:19PM",@adkins_2020,http://twitter.com/adkins_2020/status/1250202057514143745,Thank you @oldshawneepizza! Support #KS03 local businesses! https://t.co/Ley4wwYPXP,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 15, 2020 at 06:31PM",@adkins_2020,http://twitter.com/adkins_2020/status/1250552229536370688,"Today, the Adkins campaign announced that we raised over $230,000 in the first quarter of 2020, bringing the total amount raised to more than $735,000. Thank you to all of the wonderful supporters in #KS03 and beyond that made this possible!",FALSE,FALSE,,0,FALSE,FALSE,,0
"April 15, 2020 at 06:31PM",@adkins_2020,http://twitter.com/adkins_2020/status/1250552236188602369,"You can read the full press release here: 
https://t.co/UggWjm0wIl",FALSE,FALSE,,0,FALSE,FALSE,,0
"April 15, 2020 at 07:28PM",@adkins_2020,http://twitter.com/adkins_2020/status/1250566689323966464,RT @amanda_adkins: I am grateful for the support. The $735K raised in total is ALL from people choosing to invest in me as a candidate. Zero loans. The countless leaders listed in my report represent our momentum in #KS03 ! Go Team Adkins! https://t.co/PMgdtW8MRU,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 15, 2020 at 09:19PM",@adkins_2020,http://twitter.com/adkins_2020/status/1250594548297990144,"RT @GOPLeader: As Winston Churchill said, “You can always count on Americans to do the right thing—after they've tried everything else.” 

I hope Chuck Schumer and Nancy Pelosi decide to finally do the right thing—so small businesses can keep paying their employees.",FALSE,FALSE,,0,TRUE,FALSE,,1
"April 16, 2020 at 10:07AM",@adkins_2020,http://twitter.com/adkins_2020/status/1250787796249387009,RT @bradc25: Adkins leads 3rd District GOP candidates in fundraising in first quarter; Weir supplements campaign with loan. https://t.co/yQUBHBxbuF via @sfstatejournal,FALSE,FALSE,,0,,FALSE,,0
"April 16, 2020 at 11:31AM",@adkins_2020,http://twitter.com/adkins_2020/status/1250808955544141824,RT @RepBillJohnson: This could have all been avoided if @SenSchumer and @SpeakerPelosi prioritized American small businesses and families over their own political agendas. https://t.co/FOeCg2BNVi,FALSE,FALSE,,0,TRUE,TRUE,,1
"April 16, 2020 at 02:01PM",@adkins_2020,http://twitter.com/adkins_2020/status/1250846904738512903,Speaker Pelosi claimed there’s “no data as to why we need” to keep funding #PPP for business &amp; @RepDavids joined Dems to stall efforts in order to push their radical agenda. #KS03 deserves a Rep who will work for the people to get our economy back on track - not a partisan agenda https://t.co/i8wznGNcZ1,FALSE,FALSE,,0,TRUE,TRUE,,1
"April 17, 2020 at 11:26AM",@adkins_2020,http://twitter.com/adkins_2020/status/1251170217583140866,RT @cottensj: Your party leaders literally blocked replenishing the PPP while you sat and did nothing. I’m sure your constituents would appreciate if you stood up to Schumer and Pelosi rather than just giving lip service. https://t.co/9IpTxJfFai,FALSE,FALSE,,0,TRUE,FALSE,,1
