date,handle,content,link,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
"April 06, 2020 at 06:28AM",@AdrienneMaine,@chelliepingree and @AOC pushing a bailout for Illegal Immigrants. Time for @RepGolden to denounce that effort or let Mainers know that he stands with the Squad. #mepolitics https://t.co/s1YCQa8BlZ,http://twitter.com/AdrienneMaine/status/1247108956759220224,FALSE,FALSE,,0,TRUE,TRUE,,1
"April 06, 2020 at 02:54PM",@AdrienneMaine,@Mathews1854 @RealJamesWoods @Mathews1854 was ahead of the curve. Maine made is best made. Let’s support American manufacturing and hold China accountable! #mepolitics https://t.co/z6SR6T6Koy,http://twitter.com/AdrienneMaine/status/1247236373133869057,FALSE,FALSE,,0,TRUE,TRUE,,1
"April 07, 2020 at 09:36AM",@AdrienneMaine,Thank you @Hannaford! American companies are stepping up amidst a time of great uncertainty for public health and our economy. Thank you to the grocery stores and workers who are on the front lines! #mepolitics https://t.co/z3uRY1PTxp,http://twitter.com/AdrienneMaine/status/1247518732852871168,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 07, 2020 at 09:37AM",@AdrienneMaine,"RT @megynkelly: CNN still pretends he is an objective news anchor (yeah, sure) while the msm recoils in horror at the bias of Fox/OANN, etc. Who do they think they’re kidding? https://t.co/JwkhpTUvgs",http://twitter.com/AdrienneMaine/status/1247518818676682754,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 07, 2020 at 10:38AM",@AdrienneMaine,Thank you to the hard working associates keeping our families fed and supplied. We appreciate everything you are doing! https://t.co/RF2h78ND9s,http://twitter.com/AdrienneMaine/status/1247534334199746561,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 08, 2020 at 10:31AM",@AdrienneMaine,There is absolutely bias in the media. #mepolitics https://t.co/ORKI2d2iC7,http://twitter.com/AdrienneMaine/status/1247894749530316804,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 08, 2020 at 11:28AM",@AdrienneMaine,"Time to begin socialist distancing.
#maga #KAG2020 

https://t.co/dnfkgjszTw",http://twitter.com/AdrienneMaine/status/1247909250539667456,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 08, 2020 at 12:56PM",@AdrienneMaine,I’d personally like to invite the @BernieSanders supporters in Maine to support @realDonaldTrump. He is a man who is also fighting the establishment and putting government back to work for the working class. There is more that unites us than divides us. #mepolitics https://t.co/CKL4zJTnJb,http://twitter.com/AdrienneMaine/status/1247931291732971522,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 09, 2020 at 11:11AM",@AdrienneMaine,"Everyone knows that small businesses need more funding to deliver the help that Congress promised but @RepGolden agrees that Dems should block this funding until they can extract more money for political priorities. Sad! #mepolitics 
https://t.co/LOWC4LW8xP",http://twitter.com/AdrienneMaine/status/1248267417064820736,FALSE,FALSE,,0,TRUE,TRUE,,1
"April 09, 2020 at 12:58PM",@AdrienneMaine,Definitely @MaineNordiques - vote Fox &amp; Green! https://t.co/51BzBClTTi,http://twitter.com/AdrienneMaine/status/1248294324263149568,FALSE,FALSE,,0,FALSE,FALSE,,0
