date,handle,content,link,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
"April 06, 2020 at 09:42AM",@CongressmanJVD,"I joined @foxandfriends yesterday morning to discuss New Jersey and Coronavirus response. 
https://t.co/DWv41wt1eM",http://twitter.com/CongressmanJVD/status/1247157823244587009,FALSE,FALSE,FALSE,0,FALSE,,FALSE,0
"April 07, 2020 at 10:44AM",@CongressmanJVD,"South Jersey now has several Coronavirus testing sites. These locations are for residents of the counties, by appointment and having met certain criteria for testing. We will keep you posted as additional sites open.
https://t.co/QVMv86Wa1X",http://twitter.com/CongressmanJVD/status/1247535713601482752,FALSE,FALSE,FALSE,0,FALSE,,FALSE,0
"April 07, 2020 at 12:31PM",@CongressmanJVD,Shore Congressmen introduce bill to help struggling residents and businesses https://t.co/so7tXBuEKx @wobm @RepChrisSmith,http://twitter.com/CongressmanJVD/status/1247562580467634180,FALSE,FALSE,FALSE,0,FALSE,,FALSE,0
"April 08, 2020 at 04:42PM",@CongressmanJVD,"While we have passed historic legislation to save our nation, we must continue to refine what we have done so that every person impacted by this pandemic can see benefit. https://t.co/ycqp2OtrdZ",http://twitter.com/CongressmanJVD/status/1247988285491654658,FALSE,FALSE,FALSE,0,FALSE,,FALSE,0
"April 10, 2020 at 12:36PM",@CongressmanJVD,Van Drew Teams With Rio Grande Company to Donate Masks https://t.co/svANN7Pb3y via @heraldnews,http://twitter.com/CongressmanJVD/status/1248650992842833922,FALSE,FALSE,FALSE,0,FALSE,,FALSE,0
"April 11, 2020 at 10:41AM",@CongressmanJVD,https://t.co/oz7iO0tMwC,http://twitter.com/CongressmanJVD/status/1248984621498368004,FALSE,FALSE,FALSE,0,FALSE,,FALSE,0
"April 13, 2020 at 01:34PM",@CongressmanJVD,"Over the last few hours, storms and powerful winds have damaged huge areas of South Jersey, while we are in the midst of a public health crisis. I am asking the Governor to declare an immediate State of Emergency to help our community rebuild. We need the help now more than ever.",http://twitter.com/CongressmanJVD/status/1249752836067524613,FALSE,FALSE,FALSE,0,FALSE,,FALSE,0
"April 14, 2020 at 06:30PM",@CongressmanJVD,FYI https://t.co/mIwMGBZgyO,http://twitter.com/CongressmanJVD/status/1250189829360549888,FALSE,FALSE,FALSE,0,FALSE,,FALSE,0
"April 20, 2020 at 11:08AM",@CongressmanJVD,"White House, Democrats near deal to replenish small business relief funds https://t.co/64pjiIsS2D",http://twitter.com/CongressmanJVD/status/1252252805928189958,,FALSE,FALSE,0,FALSE,,FALSE,0
"April 20, 2020 at 01:57PM",@CongressmanJVD,"Our small businesses, those in healthcare, and the sick should be the only priority of legislation regarding Coronavirus.
https://t.co/A7q3IuyXMM",http://twitter.com/CongressmanJVD/status/1252295293304963082,,FALSE,FALSE,0,FALSE,,FALSE,0
"April 22, 2020 at 04:22PM",@CongressmanJVD,"DMOs help our economy thrive in South Jersey. We must include these groups in our legislation as they will help get our economy back to its feet when it is safe to be in public.
https://t.co/YHPg20fNTp",http://twitter.com/CongressmanJVD/status/1253056703857405952,,FALSE,FALSE,0,FALSE,,FALSE,0
"April 23, 2020 at 06:18PM",@CongressmanJVD,"Congress and the agencies we oversee must ensure these precious funds go to help those in need, not corporations or institutions that already have access to money. 
https://t.co/eqoDChAykE",http://twitter.com/CongressmanJVD/status/1253448207234932740,,,,0,,,,0
"April 24, 2020 at 05:34PM",@CongressmanJVD,"We have relied on China for far too long to provide cheap labor and goods at the expense of America and our workers. We must bring that supply-chain home and end the export gap we have; It’s time to hold China accountable for their actions.
https://t.co/bQKBY4j0kD",http://twitter.com/CongressmanJVD/status/1253799460964126723,,,,0,,,,0
"April 27, 2020 at 09:39AM",@CongressmanJVD,"RT @NJLaborDept: READY TO CERTIFY FOR WEEKLY BENEFITS? We've successfully restored all systems. View the most up-to-date schedule for the week of Monday, April 27. You can only certify benefits during the day(s) and time(s) assigned to your Social Security Number (SSN). https://t.co/QOPZxppcRy",http://twitter.com/CongressmanJVD/status/1254767052939825152,,,,0,,,,0
