date,handle,link,content,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
"April 06, 2020 at 11:16AM",@KeanForCongress,http://twitter.com/KeanForCongress/status/1247181302568288257,"Team Kean pitched in at the @FAFoodPantry this past week, stocking shelves &amp; delivering fresh food to seniors across Hunterdon County. If you are able, please consider donating supplies or volunteering your time to this extraordinary mission https://t.co/bNutHgoJCK https://t.co/DE2kcriAnu",FALSE,FALSE,,0,FALSE,FALSE,,0
"April 07, 2020 at 01:06PM",@KeanForCongress,http://twitter.com/KeanForCongress/status/1247571471519670272,"RT @tomkean: @NJTVNews has joined with the @NJEA and the @NewJerseyDOE to create a new Learning Live program that will provide on-air instruction for kids in grades 3-6.

My thanks to all, including the 200 outstanding educators who volunteered for the programming.

https://t.co/NntoHCaM68",FALSE,FALSE,,0,FALSE,FALSE,,0
"April 07, 2020 at 01:06PM",@KeanForCongress,http://twitter.com/KeanForCongress/status/1247571520932675591,"RT @tomkean: The @NewJerseyEDA will launch the application for its Small Business Emergency Assistance Loan Program on Monday, April 13, at 9:00am.  

A link to the program application will be posted on the State’s COVID-19 Business Information Hub: https://t.co/Yv0ULP29Hw https://t.co/e8nVGGu3ge",FALSE,FALSE,,0,FALSE,FALSE,,0
"April 08, 2020 at 07:38PM",@KeanForCongress,http://twitter.com/KeanForCongress/status/1248032405354622977,"Wishing a happy, healthy Passover to everyone beginning their celebration tonight. In these challenging times, I hope you are able to find connection and community with your family and friends. Chag Pesach sameach. https://t.co/Ms2wr6WQ4R",FALSE,FALSE,,0,FALSE,FALSE,,0
"April 09, 2020 at 12:05PM",@KeanForCongress,http://twitter.com/KeanForCongress/status/1248280779026837504,"RT @tomkean: I had a discussion with Mary Robinson, Founder &amp; CEO of @ImagineaWorldNJ &amp; Connie Palmer, Clinical Training Director at Imagine regarding how the virus impacts our mental health.

Here is a clip from our conversation. Will share the full video tomorrow.

https://t.co/nht3GkLkmv",FALSE,FALSE,,0,FALSE,FALSE,,0
"April 09, 2020 at 05:00PM",@KeanForCongress,http://twitter.com/KeanForCongress/status/1248355007428206601,"I just finished talking to five constituents, checking in on their well-being, and making sure that we all get through this crisis safely. I now nominate Senator @KipBateman, Freeholder @SueSoloway, and Sheriff Jim Gannon to do the #MyCovid5 challenge! https://t.co/HCkaCWsd6y",FALSE,FALSE,,0,FALSE,FALSE,,0
"April 10, 2020 at 10:27AM",@KeanForCongress,http://twitter.com/KeanForCongress/status/1248618573649473537,"RT @tomkean: Throughout this pandemic, many have expressed their incredible range of feelings, including grief.

I turned to those who understand how to help identify and address grief.

@ImagineaWorldNJ provides grief support for children, families, and communities.

https://t.co/c7EYoRHDTf",FALSE,FALSE,,0,FALSE,FALSE,,0
"April 10, 2020 at 11:00AM",@KeanForCongress,http://twitter.com/KeanForCongress/status/1248626798159527940,"1 Peter 2:24 - “He himself bore our sins” in his body on the cross, so that we might die to sins and live for righteousness; “by his wounds you have been healed.”",FALSE,FALSE,,0,FALSE,FALSE,,0
"April 11, 2020 at 02:38PM",@KeanForCongress,http://twitter.com/KeanForCongress/status/1249044225263575041,#NewJersey is blessed with so many amazing restaurants and folks who are working hard to stay afloat during these difficult times. Please let me know who has helped you to take your mind off the news with some delicious food- and share pictures! https://t.co/xG91LQB1PH,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 12, 2020 at 08:13AM",@KeanForCongress,http://twitter.com/KeanForCongress/status/1249309673498558465,"Have a happy and healthy Easter, from my family to yours. https://t.co/38i3qNPYDX",FALSE,FALSE,,0,FALSE,FALSE,,0
"April 13, 2020 at 08:34AM",@KeanForCongress,http://twitter.com/KeanForCongress/status/1249677350473797637,"The @NewJerseyEDA​’s Small Business Emergency Assistance Loan application will open TODAY, Monday, April 13, at 9:00 a.m.

The application is posted here: https://t.co/a6uh0jTOTC

For more information on the loans, click here: https://t.co/mUQcTnvFWC https://t.co/rhJvR4tuMM",FALSE,FALSE,,0,FALSE,FALSE,,0
"April 13, 2020 at 12:38PM",@KeanForCongress,http://twitter.com/KeanForCongress/status/1249738797778075652,"RT @tomkean: The @NewJerseyEDA’s Small Business Emergency Assistance Loan application will open TOMORROW, Monday, April 13, at 9:00 a.m. 

The application is posted here: https://t.co/PynBtCdXsP 

For more information on the loans, click here: https://t.co/fMddWyoNga https://t.co/tyTHAFsj0C",FALSE,FALSE,,0,FALSE,FALSE,,0
"April 13, 2020 at 12:38PM",@KeanForCongress,http://twitter.com/KeanForCongress/status/1249738845740052480,RT @tomkean: This legislation builds upon what we have learned during the current school closures and ensures that districts have clarity on the procedures for developing and implementing robust remote learning plans for future school years. https://t.co/LXfbFbU3Cv,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 13, 2020 at 12:39PM",@KeanForCongress,http://twitter.com/KeanForCongress/status/1249738886865195016,"RT @tomkean: Without a variety of relief efforts, including this legislation, many small businesses will lack the financial resources to sustain the lengthy closure necessitated by the current pandemic.  https://t.co/z9MFQFM2Er",FALSE,FALSE,,0,FALSE,FALSE,,0
"April 13, 2020 at 01:18PM",@KeanForCongress,http://twitter.com/KeanForCongress/status/1249748854603485190,"""Our healthcare facilities and the dedicated doctors and nurses who provide critical care to patients have stepped up to respond to this emergent public health crisis, often without the resources they need to do their jobs effectively,” said Senator Kean (R-21). https://t.co/eg8MOh9R5U",FALSE,FALSE,,0,FALSE,FALSE,,0
"April 13, 2020 at 01:18PM",@KeanForCongress,http://twitter.com/KeanForCongress/status/1249748924992282625,https://t.co/PNgLCrFyKM,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 14, 2020 at 04:59PM",@KeanForCongress,http://twitter.com/KeanForCongress/status/1250166856226426881,Last week Team Kean assembled and delivered over 150 snack packs to Arbor Terrace Mountainside.  Social distancing measures have impacted our seniors particularly hard.  Please take the time to reach out neighbor to neighbor and check on folks in your community. https://t.co/ZuvJzUyuhp,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 15, 2020 at 08:44PM",@KeanForCongress,http://twitter.com/KeanForCongress/status/1250585819452256261,"Some great insight today on Fox Business, I'm a big fan of the guy Neil had on as a guest! https://t.co/Bwx3MC1iGY",FALSE,FALSE,,0,FALSE,FALSE,,0
"April 16, 2020 at 11:12AM",@KeanForCongress,http://twitter.com/KeanForCongress/status/1250804175644041216,Our campaign kicked off one year ago today- thank you all for the amazing support since then! #ThrowbackThursday #TBT https://t.co/1a0VptPUKr,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 16, 2020 at 02:39PM",@KeanForCongress,http://twitter.com/KeanForCongress/status/1250856364014010368,"One year Kean for Congress Campaign Check In:

✅ Leading in the latest poll.
✅ Over 200 endorsements from across the district.
✅ $1.5 million in ad buy for the fall.

We're already at work put #NJ07 back on track, but we need you on our team- join us! https://t.co/hUeELF1IcZ https://t.co/eEPOYynqM6",FALSE,FALSE,,0,FALSE,FALSE,,0
"April 17, 2020 at 07:06PM",@KeanForCongress,http://twitter.com/KeanForCongress/status/1251286051777392640,"🎙🎙🎙Join Bridgewater Mayor Matt Moench and me for the first episode of Kitchen Table Talk! 

https://t.co/DXSLwOT8oG",FALSE,FALSE,,0,FALSE,FALSE,,0
