district,incumbent,incumbent party,opponent,opponent party,handle,date,content,url,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
NY-19,Antonio Delgado,D,Ola Hawatmeh,R,@OlaForCongress,"April 06, 2020 at 09:47AM",If you are a farmer in NY please join me today as we talk about issues of how regulations due to  Covid-19 are hurting local family farms. @NYFarmBureau @DairyFarmerMag Protecting #ny19 family farms! https://t.co/hacSEIL0Xk,http://twitter.com/OlaForCongress/status/1247158952279846912,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
NY-19,Antonio Delgado,D,Ola Hawatmeh,R,@OlaForCongress,"April 06, 2020 at 11:56AM","RT @EliseStefanik: According to the data from NYS COVID-19 tracker by county, #NY21 counties only have received 1.67% of total tests statewide. 

This is unacceptable. 

New York is discussing shifting PPE &amp; ventilators, yet we have only had 1.67% of total statewide tests!

Need more tests Upstate.",http://twitter.com/OlaForCongress/status/1247191502159314944,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0
NY-19,Antonio Delgado,D,Ola Hawatmeh,R,@OlaForCongress,"April 06, 2020 at 12:45PM","This is our moment and America is rising to it. We will prevail as we have before in times of crisis. We bounced back after every war, every natural disaster, and every financial crisis — and we will again with the China Virus. We got this. https://t.co/XOrw2WbHg3",http://twitter.com/OlaForCongress/status/1247203702957629440,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0
NY-19,Antonio Delgado,D,Ola Hawatmeh,R,@OlaForCongress,"April 06, 2020 at 10:47PM",RT @OlaHawatmeh: @cvpayne @RealDrGina @FoxBusiness @OlaForCongress https://t.co/GT0GHDAC1G,http://twitter.com/OlaForCongress/status/1247355331434479617,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
NY-19,Antonio Delgado,D,Ola Hawatmeh,R,@OlaForCongress,"April 07, 2020 at 03:33PM","Due to COVID-19, The American Red Cross is running dangerously low on blood donations. If you haven’t already, please make an appointment with the American Red Cross to safely donate blood today. Lives are counting on it. https://t.co/mu7k480UEJ https://t.co/361NeceVC9",http://twitter.com/OlaForCongress/status/1247608340299026432,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
NY-19,Antonio Delgado,D,Ola Hawatmeh,R,@OlaForCongress,"April 08, 2020 at 04:54PM",Governor Cuomo released three convicted child rapists to control the spread of COVID-19. We cannot let radical left-wing politicians get away with using the COVID-19 pandemic as an excuse to carry out their radical agenda. The public is in enough danger already. https://t.co/UcLsaKMiNu,http://twitter.com/OlaForCongress/status/1247991113014816771,TRUE,TRUE,TRUE,1,FALSE,FALSE,FALSE,0
NY-19,Antonio Delgado,D,Ola Hawatmeh,R,@OlaForCongress,"April 08, 2020 at 07:21PM","RT @CATargetBot: NEW FEC F3
HAWATMEH, OLA (REP) #NY19

RCPT $260,602
EXPN $11,495
COH $254,379
https://t.co/3Y7vou20Ns https://t.co/aFCFgJ4eTR",http://twitter.com/OlaForCongress/status/1248028205275021315,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
NY-19,Antonio Delgado,D,Ola Hawatmeh,R,@OlaForCongress,"April 09, 2020 at 05:49PM","As a domestic abuse survivor, my heart breaks for all the women out there who are trapped in quarantine with an abusive partner and feel like they cannot escape. If someone you know needs help, please call the National Domestic Abuse hotline at 1-800-799-7233. https://t.co/HDWzUpQl5U",http://twitter.com/OlaForCongress/status/1248367345237712897,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
NY-19,Antonio Delgado,D,Ola Hawatmeh,R,@OlaForCongress,"April 10, 2020 at 12:19PM","While China was implementing lockdowns at the beginning of the year, President Trump was forced to fend off the Democrat’s partisan impeachment sham. Now, Democrats are calling the President “unprepared” because they prioritized politics over national security. https://t.co/RL129lqV53",http://twitter.com/OlaForCongress/status/1248646683820527621,TRUE,TRUE,TRUE,1,FALSE,FALSE,FALSE,0
NY-19,Antonio Delgado,D,Ola Hawatmeh,R,@OlaForCongress,"April 11, 2020 at 02:21PM","Now more than ever, every single one of us has a role in containing COVID-19 as we approach the pandemic’s peak. Our hospitals are still overwhelmed, so please: 

- Practice social distancing
- Practice good hygiene &amp; wash your hands
- Only leave home for essential errands https://t.co/6MiXF8BbKL",http://twitter.com/OlaForCongress/status/1249039770094899202,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
NY-19,Antonio Delgado,D,Ola Hawatmeh,R,@OlaForCongress,"April 12, 2020 at 03:43PM","The FDA was slow to approve life-saving medications; the CDC was slow to get test kits out; and the DHHS took too long to help the private sector develop tests. In Congress, I will continue the fight to slash red tape so in the next emergency, federal agencies don’t slow us down. https://t.co/eyYa6IXKUj",http://twitter.com/OlaForCongress/status/1249422793709682692,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0
NY-19,Antonio Delgado,D,Ola Hawatmeh,R,@OlaForCongress,"April 13, 2020 at 12:44PM",President Trump is on TV nearly every day with the best team of experts in the world briefing the public about the pandemic and the steps he is taking to fight it -- he has proven himself to be an incredibly capable leader. Joe Biden has only proven his need to retire. https://t.co/X7l3JMGBTz,http://twitter.com/OlaForCongress/status/1249740136939741184,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
NY-19,Antonio Delgado,D,Ola Hawatmeh,R,@OlaForCongress,"April 14, 2020 at 03:32PM","The MSM is STILL reciting Chinese propaganda, censoring White House press briefings, and attacking President Trump even AFTER numerous American journalists were expelled from China for reporting the truth about COVID-19. Which side is the MSM on? https://t.co/9oInjFwjqG",http://twitter.com/OlaForCongress/status/1250144804949962754,TRUE,TRUE,TRUE,1,FALSE,FALSE,FALSE,0
