handle,date,content,url,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
@Dan4Nevada,2020-04-14 20:12:12,"Let’s stay healthy, but let’s develop a plan to get America moving again! https://t.co/JCP8H7hAff",,FALSE,FALSE,FALSE,0,,FALSE,FALSE,0
@Dan4Nevada,2020-04-12 15:01:20,"May Easter be a time of hope, renewal, and joy for you and your family. #HappyEaster https://t.co/eLAURvRikQ",,FALSE,FALSE,FALSE,0,,FALSE,FALSE,0
@Dan4Nevada,2020-04-10 15:52:43,Dan Schwartz has fearlessly taken on every politician who's tried wasting your money. Now it's time to send Dan Schwartz to Congress. #NV03 https://t.co/YyTBPXxIop,,FALSE,FALSE,FALSE,0,,FALSE,FALSE,0
@Dan4Nevada,2020-04-08 17:46:08,"As we sit down for seder, remember:  Pesach is the Festival of Freedom.  Let’s celebrate our many freedoms in America, which is why this night is different than all other nights.  Happy #Passover! https://t.co/6rUTPBqnUW",,FALSE,FALSE,FALSE,0,,FALSE,FALSE,0
@Dan4Nevada,2020-04-02 17:35:45,Gallup's latest numbers show 60 percent of Americans approving of the president's handling of the crisis. https://t.co/95eWNCABQx,,FALSE,FALSE,FALSE,0,,FALSE,FALSE,0
@Dan4Nevada,2020-03-31 21:16:32,"Thanks to the President, the stock market is coming off its largest weekly gain since 1938.  Small businesses are the backbone of our economy.  We need to make sure they have the support they need to get through this crisis and help lead our come back. https://t.co/XgY1TuHvKB",,FALSE,FALSE,FALSE,0,,FALSE,FALSE,0
@Dan4Nevada,2020-03-23 20:45:47,Our campaign has launched it's first TV ad this week! Check it out! #NV03 https://t.co/aFs8ylI48s,,FALSE,FALSE,FALSE,0,,FALSE,FALSE,0
@Dan4Nevada,2020-03-11 22:21:31,The best way to avoid getting infected is: wash your hands with soap; avoid touching your face; keep your distance from sick people; and regularly clean frequently used surfaces. Healthy people do not need to wear a mask unless they are caring for a sick person. https://t.co/ecs8RrMbgV,,FALSE,FALSE,FALSE,0,,FALSE,FALSE,0
@Dan4Nevada,2020-03-04 16:20:27,"The Green New Deal would cost the average household more than $75,000 in the first year. #NV03 https://t.co/AqwhglDqZ9",,,FALSE,FALSE,0,,TRUE,FALSE,1
@Dan4Nevada,2020-03-02 18:38:20,"KEEP YOURSELF HEALTHY.  REPORT CORONAVIRUS SYMPTOMS TO YOUR DOCTOR: RUNNY NOSE, COUGH, SORE THROAT, HEADACHE, AND FEVER.  IT MAY ONLY BE A COLD, BUT LET A MEDICAL PROFESSIONAL DECIDE. https://t.co/Peof32ink0 https://t.co/SuWB6g62xa",,FALSE,FALSE,FALSE,0,,FALSE,FALSE,0
@Dan4Nevada,2020-02-24 16:03:43,Thank you to our volunteer leaders for taking the time out of your weekend to help plan the Schwartz Volunteer Grassroots Campaign! #NV03 https://t.co/CSZWGJbxTS,,FALSE,FALSE,FALSE,0,,FALSE,FALSE,0
@Dan4Nevada,2020-02-24 13:30:52,"Thank you for the endorsement, Swadeep Nigam! #NV03 https://t.co/JqsUvDjxRj",,FALSE,FALSE,FALSE,0,,FALSE,FALSE,0
@Dan4Nevada,2020-02-23 20:28:57,DAN WITH MIKE EURIZONE CAPTAIN OF THE MIRACLE ON ICE 1980 US OLYMPIC ICE HOCKEY TEAM.  MIKE ALSO SCORED THE GAME WINNING GOAL! #NV03 https://t.co/9JXQ04BGUb https://t.co/JnPKMrfRGO,,FALSE,FALSE,FALSE,0,,FALSE,FALSE,0
@Dan4Nevada,2020-02-19 21:01:24,"Welcome to Nevada, President @realDonaldTrump! #NV03 https://t.co/dGZE2JpayJ",,FALSE,FALSE,FALSE,0,,FALSE,FALSE,0
@Dan4Nevada,2020-02-17 15:45:46,“The executive Power shall be vested in a President of the United States of America.” --Article II https://t.co/SdBfvDtBVw,,FALSE,FALSE,FALSE,0,,FALSE,FALSE,0
@Dan4Nevada,2020-02-15 17:36:08,Proud to have the endorsement of @DannyTarkanian! #NV03 https://t.co/ZD6SR5eIbd,,FALSE,FALSE,,0,,FALSE,,
@Dan4Nevada,2020-02-13 1:30:24,SUPPORT OUR VETERANS: THEY TOOK CARE OF US. WE’LL TAKE CARE OF THEM. #NV03 https://t.co/zNpl9QlGSG,,FALSE,FALSE,,0,,FALSE,,
@Dan4Nevada,2020-02-10 17:36:12,Glad to have @MrsT106 backing Team Schwartz! https://t.co/DqQSSCY1xS,,FALSE,FALSE,,0,,FALSE,,
@Dan4Nevada,2020-02-07 18:27:10,"The US added 225,000 jobs in January.  That exceeded economists’ expectations by an incredible 41%. The US now has the highest labor participation rate since 2013 and wages are growing at a historic rate. 👍🏻 Mr. President! #NV03 https://t.co/5tSsn4rlnh",,FALSE,FALSE,,0,,FALSE,,
@Dan4Nevada,2020-02-06 1:01:14,#ACQUITTED! Now it's time to get back to work and PUT AMERICA FIRST! #NV03 https://t.co/O7hIhtPnJ1,,FALSE,FALSE,,0,,FALSE,,
@Dan4Nevada,2020-02-05 16:30:13,"Stand with George Washington and the Framers: Keep the Electoral College—the compromise that insures big and small, urban and rural all have a voice in our government. #NV03 https://t.co/qeJ3hlq7B6",,FALSE,FALSE,,0,,FALSE,,
@Dan4Nevada,2020-02-05 15:01:28,"My campaign has officially received the endorsement of @DannyTarkanian, former #Nevada Republican Party Chairwoman @MrsT106, and former Clark County Commissioner Bruce Woodbury. It’s an honor to have the backing of these STRONG NEVADA #REPUBLICAN LEADERS! #NV03 https://t.co/bQ7FMO1zV9",,FALSE,FALSE,,0,,FALSE,,
@Dan4Nevada,2020-02-03 16:30:38,"From owning his own businesses over the years to his time as one of the most fiscally responsible State Treasurers in the country, Dan has a track record of getting things done. Dan is EXACTLY who we need in Congress. #VoteSchwartz #Republican #NV03 https://t.co/b7OzMgDr9z",,,FALSE,,,,FALSE,,
@Dan4Nevada,2020-01-31 15:45:25,"While #Congress is shortchanging #Nevada schools, states like California and New York get more than two times the amount of federal school funding per capita than we do. That’s not fair to Nevada taxpayers and students.  I will go to Washington and fight for our fair share. #NV03 https://t.co/oPHhHcuxLV",,,FALSE,,,,TRUE,,
@Dan4Nevada,2020-01-29 16:00:39,"The people of Hong Kong have been protesting for months for basic liberties we enjoy here in America. Let us not take our rights for granted lest we end up fighting for them and stand with those that would fight to maintain their freedom. #HongKong, #StandWithHongKong https://t.co/1OHAHYj2Kj",,,FALSE,,,,FALSE,,
@Dan4Nevada,2020-01-28 18:20:19,"Dan Schwartz raises $565,000 with $447,000 cash on hand in 2019, leads Nevada's 3rd Congressional District Republican primary. #NV03 https://t.co/ct1AdaKajP",,,FALSE,,,,FALSE,,
@Dan4Nevada,2020-01-27 16:01:25,On this day we remember the atrocities committed against the Jewish people and renew our vow:  NEVER AGAIN! #HolocaustRememberanceDay https://t.co/zVQNqRb87k,,,FALSE,,,,FALSE,,
@Dan4Nevada,2020-01-25 16:01:31,We wish everyone celebrating #LunarNewYear a prosperous and healthy Year of the Rat! #HappyChineseNewYear #HappyLunarNewYear #RedBagPlease #NV03 https://t.co/bexjm97pse,,,FALSE,,,,FALSE,,
@Dan4Nevada,2020-01-22 3:00:36,"Yesterday thousands in #Virginia showed up to support our most basic liberty, the right to bear arms. Just like President @realdonaldtrump stated yesterday when in Congress I will never allow this right to go unprotected. #2ndAmendment #Republican #2A https://t.co/s3hIPZ9b2d",,,FALSE,,,,TRUE,,
@Dan4Nevada,2020-01-20 17:58:02,#MLK #MLKDAY https://t.co/HtC2vBUn3H,,,FALSE,,,,FALSE,,
@Dan4Nevada,2020-01-09 15:01:10,Special thanks to our partners in law enforcement who keep us safe! https://t.co/2TkiAEVNBi,,,FALSE,,,,FALSE,,
@Dan4Nevada,2020-01-01 4:00:59,Let's win it in 2020! #NewYear https://t.co/Wli7cZCSiY,,,FALSE,,,,FALSE,,
,2019-12-18 18:50:28,"It's time for the #WitchHunt to end! Let Congress know you're tired of the #impeachment scam!
Sign here ➡️https://t.co/tlYRja9Oi7 https://t.co/12lt8gc2db",,,,,,,,,
,2019-11-28 16:52:07,Happy Thanksgiving from our family to yours! https://t.co/8IPkBdmdGr,,,,,,,,,
,2019-11-11 15:58:46,It was my duty to serve. I salute my fellow vets. #VeteransDay https://t.co/TmASG5TIz9,,,,,,,,,
,2019-10-31 23:43:24,A few tricks and many treats to all! Happy Halloween! https://t.co/BzY9yrLur3,,,,,,,,,
,2019-10-25 16:00:12,Happy #NevadaDay to our Great State that helped re-elect one of our greatest presidents:  Abraham Lincoln. https://t.co/lHn1TwgLDj,,,,,,,,,
,2019-10-23 18:07:03,Dan stopped by to talk with the @sohillsrw yesterday about the 2020 Campaign. https://t.co/3MpI1vOJMV,,,,,,,,,
,2019-10-21 17:46:03,"Great time at the @ClarkCountyGOP  #FallFestival last Saturday! Well done to Trish and everyone who helped out. I fought for you in #Nevada, let's take the fight to #DC. https://t.co/aNSyX3kdLH",,,,,,,,,
,2019-10-19 17:00:48,I'm proud to endorse @TigerHelgelien for #ClarkCounty School District Board of Trustees District E! https://t.co/USjzgpWVS3,,,,,,,,,
,2019-10-18 18:19:11,I was pleased to join @ARWLasVegas  at their October meeting.  They are a real force in our community! https://t.co/bQsS9z5Im9,,,,,,,,,
,2019-10-15 23:50:14,I want to thank the Downtown #Henderson #RotaryClub for having me come to speak this afternoon about #China and #HongKong! https://t.co/vh4R29dK5f,,,,,,,,,
,2019-10-13 18:38:02,"Happy Birthday,@USNavy! Thank you for 244 years of incredible service! #NavyBirthday https://t.co/oQQyyw5IiM",,,,,,,,,
,2019-10-08 15:35:06,"I’m pleased to announce that State Assemblyman Al Kramer, former State Assembly Speaker John Hambrick, former State Controller Ron Knecht, and former State Senator Sue Lowden
have endorsed me in my race for Nevada Congressional District 3! Join them at https://t.co/l2iLhaUiyu https://t.co/4iKDRYc80y",,,,,,,,,
,2019-10-01 17:36:10,Let’s honor the memory of those who perished and stay #VegasStrong #VegasStronger https://t.co/b8Mz13eAil,,,,,,,,,
,2019-09-18 17:18:21,"FROM AN ALMOST-FLY BOY, HAPPY BIRTHDAY GUARDIANS OF THE SKY! @usairforce https://t.co/w0p1YrG26U",,,,,,,,,
,2019-09-12 18:44:10,"My Campaign made ""On the Radar"" for the @NRCC Youngs Gun Program! https://t.co/svb9jBhx0i",,,,,,,,,
,2019-09-05 17:13:52,"Congressional elections in 2020 will come down to a simple choice.

Are you in favor of a big government solution to every problem or smaller government, led by free markets and individual initiative? https://t.co/XeH8E3EysL",,,,,,,,,
,2019-09-02 15:45:21,Happy #LaborDay! https://t.co/maU3KMAi3Q,,,,,,,,,
,2019-08-19 19:00:38,"Who would you vote for: A Democrat socialist who believes that a BIGGER government and higher taxes will solve all our problems; or someone who understands the most successful economy in the world is fueled by private enterprise, free markets, and individual initiative. https://t.co/E1z1Xm8fel",,,,,,,,,
,2019-08-06 21:11:29,Dan has taken the @USTermLimits pledge to stand up against career politicians! https://t.co/MJwHgfV2Vg,,,,,,,,,
,2019-08-01 20:47:57,"As State Treasurer, Dan was right on Faraday Future being a disaster...

His expertise and leadership are exactly what's needed in #Congress. https://t.co/fL6LxFWyRx",,,,,,,,,
,2019-07-15 22:27:36,"""It’s an early indication the fight for Congressional District 3 will be what it usually is: a fight.""

The stakes are high:  private enterprise built Las Vegas.  I'm committed to building our community through private enterprise and local partnerships. https://t.co/MRptEBcDYv",,,,,,,,,
,2019-07-10 1:12:25,"It hasn’t even been a full 5 hours since I’ve announced my candidacy for NV-3, and @RepSusieLee is already feeling the heat.  I would remind Ms. Lee that she lost her own primary in CD4, having spent $1.6 million in family money along the way. https://t.co/cYFHBq7JsG",,,,,,,,,
,2019-07-09 19:35:18,"With Congress being taken over by Democratic Socialists, it's time to fight back. I fought for us in Nevada. This time I’ll do it in Congress. #DanSchwartz #NV3 #NevadaPolitics #2020 https://t.co/8mTUWmID7S",,,,,,,,,
,2018-06-12 6:15:19,Thank you to everyone who turned out to the CCRP and NCRP picnic yesterday. Let's keep our state red! https://t.co/ywIFEPIRp4,,,,,,,,,
,2018-05-29 1:44:22,Go Knights! https://t.co/DPtc6ZvBsg,,,,,,,,,
,2018-04-20 22:22:08,It was an honor to speak at the Veterans &amp; Military Rally w/ @SenDeanHeller &amp; @AdamLaxalt. Our obligation to our vets must come before politics. I enlisted in the US Army after finishing college. I was assigned to Field Artillery &amp; completed Advanced Infantry Training. https://t.co/DIF4vVaFkP,,,,,,,,,
,2018-04-20 4:44:31,"Join us tomorrow as we rally with the Republican Party for the veterans of Nevada. These brave men and women should be thanked every day for their service. As a veteran, I stand with you all. https://t.co/fRSQKowgwW",,,,,,,,,
