handle,date,content,url,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
@dgvaladao,2020-04-14 19:45:30,I'm honored to have the @NRCC and so many incredible volunteers and donors supporting my campaign. The Central Valley is ready to fight for better representation in Congress for #CA21 https://t.co/cUVAMAVuLY,,FALSE,FALSE,FALSE,0,,FALSE,FALSE,0
@dgvaladao,2020-03-19 0:03:28,Donate if you can! https://t.co/LsPTDy7cny,,FALSE,FALSE,FALSE,0,,FALSE,FALSE,0
@dgvaladao,2020-03-03 23:47:54,Didn't even have to get out of my truck to return my ballot today! Make sure you vote before polls close at 8PM #CA21 https://t.co/E0F3Qornux,,FALSE,FALSE,FALSE,0,,FALSE,FALSE,0
@dgvaladao,2020-02-29 22:12:54,The Primary Election is just 3 days away and #TeamValadao is reminding voters to make it to the polls on Tuesday! #GOTV #CA21 https://t.co/oPsyne4ZDb,,FALSE,FALSE,FALSE,0,,FALSE,FALSE,0
@dgvaladao,2019-08-28 19:25:38,The Central Valley deserves a voice they can trust to represent them  – someone who listens and understands and has always fought to do what’s right. I’m ready and able to tackle the challenges we face and work day in and day out for the honor and privilege of serving you. https://t.co/illLGRQih6,,,,,,,,,
@dgvaladao,2018-11-07 7:32:50,This race is bigger than a candidate or political party. This race is about the those who make the Central Valley such an amazing place. The Valley has always been and will always be my home &amp; I’m beyond grateful for the opportunity to continue serving the place I love. https://t.co/m6btU3ZzvG,,,,,,,,,
@dgvaladao,2018-11-07 2:59:05,"There’s still time to cast your vote - polls close in one hour! Remember, if you’re in line by 8:00 PM you can still cast your ballot. #ElectionDay #CA21 https://t.co/zGVUwuMDAL",,,,,,,,,
@dgvaladao,2018-11-07 0:27:07,Thanks for the support from @SouthwestCarps! Make sure you get out and vote today. https://t.co/3X3LDEh5UR,,,,,,,,,
@dgvaladao,2018-11-06 20:17:26,There’s no better way to spend your lunch break🍴than making your voice heard on Election Day. Vote Valadao! https://t.co/1f2P2b7qBM,,,,,,,,,
@dgvaladao,2018-11-06 18:02:20,"Happy to cast my ballot for reliable water, good jobs, and quality schools. Thanks to the Kings County Elections office for making voting so accessible and convenient for CA-21 voters! 🗳 https://t.co/bV2R9ftSDN",,,,,,,,,
@dgvaladao,2018-11-06 17:12:22,"If you support Valley ag, a reliable water supply, and lower taxes vote David Valadao for Congress! #CA21 https://t.co/jjRgWzrOtp",,,,,,,,,
