handle,date,content,url,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
@hiral4congress,2020-04-19 17:27:13,"So many sweet friends waiting for a forever home. This is a perfect time to share your (quarantined) life with a loving, furry addition to your family!💕

Visit the ⁦@azhumane⁩ site &amp; bring home some 🐱❤️🐶

#AdoptDontShop
#RescueIsMyFavoriteBreed  https://t.co/RhH4zfZTZH",,FALSE,FALSE,FALSE,0,,,FALSE,
@hiral4congress,2020-04-18 17:13:10,"🚨Breaking news - Maricopa County Recorder @Adrian_Fontes will join us on our Facebook live Town Hall today to discuss voting rights &amp; the 2020 election! 🚨

Join us on Facebook at 1pm at https://t.co/QOIHwyzqpt https://t.co/3PJuRKDCkJ",,FALSE,FALSE,FALSE,0,,,FALSE,
@hiral4congress,2020-04-17 23:11:53,"It’s never been more clear that we must lead with science, facts, and empathy. That’s what healthcare professionals do every single day.

We’re working hard here in #AZ06 to bring more of that perspective to Washington.  

Thank you, @emilyslist, for your abiding support! https://t.co/KECkVh27SB",,FALSE,FALSE,FALSE,0,,,FALSE,
@hiral4congress,2020-04-17 18:28:38,"Arizona mourns the passing of our 1st elected female governor Jane Dee Hull, &amp; of her husband Dr. Terry Hull.

Together, they leave a legacy of leadership, public service, teaching, &amp; healthcare.

Our sincere condolences to their family &amp; friends. RIP  https://t.co/bSn7dOYIyk",,FALSE,FALSE,FALSE,0,,,FALSE,
@hiral4congress,2020-04-17 0:25:51,"Like us, small business owners are worried about their health.
They’re also worried about how they’ll pay employees, put food on the table, make it through this crisis.

Congress must simplify process, infuse $$ into #PPP &amp; sustain our small biz community. https://t.co/jfVHKIGrND",,FALSE,FALSE,FALSE,0,,,FALSE,
@hiral4congress,2020-04-16 21:32:27,"Join us Saturday for our next Facebook Live Town Hall!

We’ll share updates &amp; discuss AZ’s successful vote-by-mail history &amp; how we can ensure everyone has their voice heard w/o jeopardizing community health&amp;safety.🗳

Sat April 18, 1 PM...see y’all there! https://t.co/hrkb7qifjp https://t.co/wSoJfwWo8Q",,FALSE,FALSE,FALSE,0,,,FALSE,
@hiral4congress,2020-04-16 19:04:26,"It’s heinous that any human, let alone one who’s taken the #HippocraticOath, can speak so callously about letting 1.5-2.2M American children perish so we can “get our mojo back.”

Pls let me know which parents are ok w/their kid’s life being a “trade-off.”

2-3% is 2-3% too many. https://t.co/jJblhaxrbG",,TRUE,TRUE,FALSE,1,,,FALSE,
@hiral4congress,2020-04-15 22:05:26,"ICYMI: Reminder🚨Deadline to file federal &amp; AZ state taxes this year has been pushed back to *July 15*
(you can request federal extension until Oct. 15)

Hope this eases some worry as we continue to navigate our way, physically &amp; financially, through this crisis. #COVIDreliefIRS https://t.co/aCzN7JlkJt",,FALSE,FALSE,FALSE,0,,,FALSE,
@hiral4congress,2020-04-15 17:43:53,"Halting World Health Organization funding in the middle of a global pandemic - one that has cost the US &gt; 26K lives (1/5 of worldwide deaths) - is foolhardy.

A deadly pandemic doesn’t care about politics or egos. Our global community, incl the US, depends on the work #WHO does. https://t.co/z40dRQmxm8",,FALSE,FALSE,FALSE,0,,,FALSE,
@hiral4congress,2020-04-15 3:03:00,"pro•ac•tive
adjective:
(of a person, policy, or action)
creating or controlling a situation by causing something to happen rather than responding to it after it has happened

Be proactive, @dougducey.

Don’t make Arizonans choose between their vote &amp; their health.
#VoteByMail https://t.co/KZEoAd45R5",,FALSE,FALSE,FALSE,0,,,FALSE,
@hiral4congress,2020-04-14 23:24:09,"Let’s amplify voices of America’s workers. They’re on the *frontlines* &amp; are called *essential,* yet, their safety isn’t fully considered when discussing our economy??

Decisions must be based on science, data, &amp; clear understanding of potential risks. #UnionStrong #WorkersFirst https://t.co/Bs5KniWV4o",,FALSE,FALSE,FALSE,0,,,FALSE,
