handle,date,content,url,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
@Ghassali2020,2020-04-16 1:26:18,"Clear and simple, CHINA IS NOT OUR FRIEND, why is that so hard to understand.",,TRUE,TRUE,FALSE,1,FALSE,FALSE,,0
@Ghassali2020,2020-04-14 10:37:12,"Dirty politics needs more than masks and gloves, like the virus, it needs complete annihilation.  Unfortunately we don’t have the cure yet for it either, or do we?",,FALSE,FALSE,FALSE,0,FALSE,FALSE,,0
@Ghassali2020,2020-04-09 21:32:50,Doctors and nurses doing their part on the frontline should have their student loan debt fully paid by the new stimulus package.,,FALSE,FALSE,FALSE,0,FALSE,FALSE,,0
@Ghassali2020,2020-04-08 16:13:02,"And Biden says after hearing Bernie dropping out, crap now what.",,FALSE,FALSE,FALSE,0,FALSE,FALSE,,0
@Ghassali2020,2020-04-05 1:37:39,https://t.co/TC3I57us6Z,,FALSE,FALSE,FALSE,0,FALSE,FALSE,,0
@Ghassali2020,2020-04-02 19:50:14,"I am suspending my campaign. To my family, friends and supporters all over the world, to the awesome campaign staff and volunteers and all those who contributed to my campaign in all sort of ways, I want to say thank you.  I am endorsing and supporting John McCann.",,FALSE,FALSE,FALSE,0,FALSE,FALSE,,0
@Ghassali2020,2020-03-30 22:44:09,Thank you to everyone who took the time to sign our petition.  My name will be on the ballot for the June primary. With your support we will turn NJ5 Red in November! https://t.co/G6kcxgS3pt,,FALSE,FALSE,FALSE,0,FALSE,FALSE,,0
@Ghassali2020,2020-03-29 19:08:02,https://t.co/xZxFCmP9Wl,,,FALSE,FALSE,0,FALSE,FALSE,,0
@Ghassali2020,2020-03-29 13:10:24,I want to extend my warm thanks to all of our veterans who served in Vietnam. https://t.co/nois2g5LQz,,FALSE,FALSE,FALSE,0,FALSE,FALSE,,0
@Ghassali2020,2020-03-28 14:31:48,"While millions lost their jobs this week, Speaker Pelosi pushed for: Illegal immigration, The Green New Deal, Ballot harvesting laws, Planned Parenthood.  #OutoftouchNancy",,,,FALSE,0,,TRUE,TRUE,1
@Ghassali2020,2020-03-27 2:52:16,"This is good news. Prediction is higher than the actual, matches what we are seeing in the local level.  https://t.co/r5OU50N8Pe",,FALSE,FALSE,FALSE,0,,FALSE,,0
@Ghassali2020,2020-03-24 17:13:34,"First batch of petitions filed online.  Open primary, my name will be on the ballot.",,FALSE,FALSE,FALSE,0,,FALSE,,0
@Ghassali2020,2020-03-21 12:09:37,"We all have faith in each other to stay in our lane driving at 50mph in opposite directions, we have the same faith in that each of us will do our part for all of us to be safe.",,FALSE,FALSE,FALSE,0,,FALSE,,0
@Ghassali2020,2020-03-19 19:10:45,"Our campaign is still moving forward, I am committed to taking back CD5 and to win the primary and the general.
My more than 1000 petitions will be filed as planned and the campaign is moving forward responsibly and effectively.",,FALSE,FALSE,FALSE,0,,FALSE,,0
@Ghassali2020,2020-03-12 3:23:37,"President Trump has an unwavering commitment to the safety and financial security of all Americans. 

He is taking key steps to ensuring businesses have access to liquidity and to provide relief for the citizens who are affected by the coronovirus crisis.",,FALSE,FALSE,FALSE,0,,FALSE,,0
