handle,date,content,url,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
@Delia2020CD7,2019-08-02 14:15:14,"Yeah, this really needs to stay in circulation. 
Money well spent. https://t.co/pNMyi9KdSY",,,,,,,,,
@Delia2020CD7,2019-07-31 12:13:52,Hell yeah! More vets for office! https://t.co/BfV8TkbecY,,FALSE,FALSE,FALSE,0,,,FALSE,0
@Delia2020CD7,2019-07-16 23:16:09,Its been an eventful summer so far! Hope all you patriots are doing well and kicking ass!,,FALSE,FALSE,FALSE,0,,,FALSE,0
@Delia2020CD7,2019-06-18 22:18:07,"Been spotty with posts lately, but NEEDED to pop in to welcome President Trump to beautiful Orlando and shame the Orlando Sentinel.  You are a NEWSPAPER, you dont get an opinion you dumbasses, all you did was reinforce what the president has been saying about fake news.",,TRUE,FALSE,FALSE,0,,,FALSE,0
@Delia2020CD7,2019-05-26 16:32:25,"If you are looking for a way to celebrate this fine Memorial Day, may I suggest a visit to your local gentleman's club. Its what George Washington would have wanted. https://t.co/4hhWgpyANG",,FALSE,FALSE,FALSE,0,,,FALSE,0
@Delia2020CD7,2019-05-22 0:46:56,"These fine men are tackling the hard issues!
Yes a hotdog is a sandwich.
Also a hot pocket, and even an apple pie. https://t.co/tuXXz4voaY",,FALSE,FALSE,FALSE,0,,,FALSE,0
@Delia2020CD7,2019-05-22 0:32:34,"Oh hey! Looks like im back just in time to talk about abortion! I am proud to announce a moral neutrality, and at disagreement with both sides! Pro life? Roe v Wade was already ruled on! Pro choice? Everyone over the age of 10 knows where babies come from,  you made your choice.",,FALSE,FALSE,FALSE,0,,,FALSE,0
@Delia2020CD7,2019-05-01 18:33:11,Home for the next couple weeks! https://t.co/o3wR5d2e7a,,FALSE,FALSE,FALSE,0,,,FALSE,0
@Delia2020CD7,2019-04-30 23:29:26,"Ah, the Tree of Liberty thirsts once again and the people wish to water her. https://t.co/4url1ozQUw",,FALSE,FALSE,FALSE,0,,,FALSE,0
@Delia2020CD7,2019-04-30 11:34:47,One more day at the Dr Phillips then its off to my final AT. https://t.co/aUFwFBFvE7,,FALSE,FALSE,FALSE,0,,,FALSE,0
@Delia2020CD7,2019-04-28 4:20:32,"Dear Friendly Confines Lake Mary, why does your DJ look like hes about to tell me disappointing facts about things I love? https://t.co/G813JWZwdL",,FALSE,FALSE,FALSE,0,,,FALSE,0
@Delia2020CD7,2019-04-28 2:11:42,"https://t.co/NqQaF39IX8

I've spent a couple days in reflection. Nah man. This whole political jam? Feels disingenuous as shit.  No, this isn't me withdrawing, this is me making a campaign promise to never again act like a politician. I will run as a regular dude. Win as a dude.",,FALSE,FALSE,FALSE,0,,,FALSE,0
@Delia2020CD7,2019-04-28 1:55:11,This guy knows whats up! https://t.co/OJYcnEHPmG,,FALSE,FALSE,FALSE,0,,,FALSE,0
@Delia2020CD7,2019-04-28 1:40:59,Welcome to the fight. I hope you'll join up on my platform to get funding and draw attention to fight and address to reintegration failures and military alcoholism! https://t.co/ILvzGzUB40,,FALSE,FALSE,FALSE,0,,,FALSE,0
@Delia2020CD7,2019-04-26 20:47:28,I am comitted to finishing the work of Congressman Ron Paul and passing legislation to officially restore the number of Pokemon to 151!,,FALSE,FALSE,FALSE,0,,,FALSE,0
@Delia2020CD7,2019-04-25 14:03:42,"Good morning, UCF library! https://t.co/6DslgF5TOv",,FALSE,FALSE,FALSE,0,,,FALSE,0
@Delia2020CD7,2019-04-24 13:46:25,"I was married Oct 7, 2018. My honeymoon was 2 weeks all expenses paid in Panama City. Would have been great if Emily came with me. I recieved standby orders at the reception and the next morning I had skipped my honeymoon and responded to Hurricane Michael. Willingly.",,FALSE,FALSE,FALSE,0,,,FALSE,0
@Delia2020CD7,2019-04-23 22:20:48,"Right... have you ever even spoken to somebody dealing with the VA? It is the worst run system ever and 100% proof we should never even attempt to federalize healthcare. 
Why cant we keep our tricare... https://t.co/UtX1LXwwUu",,FALSE,FALSE,FALSE,0,,,FALSE,0
@Delia2020CD7,2019-04-23 21:02:27,For.... what.... they're already that tired of America winning? https://t.co/1cnMYhIvXO,,FALSE,FALSE,FALSE,0,,,FALSE,0
@Delia2020CD7,2019-04-23 21:00:45,Thank you for your support bro! https://t.co/QM5nCyV8mr,,FALSE,FALSE,FALSE,0,,,FALSE,0
@Delia2020CD7,2019-04-23 16:45:46,https://t.co/RXRgVDSrXq,,FALSE,FALSE,FALSE,0,,,FALSE,0
@Delia2020CD7,2019-04-23 2:13:37,Only thing I hate more than quitters is terrorists. https://t.co/KcK0dnlZue,,FALSE,FALSE,FALSE,0,,,FALSE,0
