date,content,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
2020-04-19 22:47:55,"We all want social distancing to end. That's why we're staying at home - so we #SlowtheSpread and can get back to normal as quickly as possible. We need to think of the elderly, of nurses &amp; doctors, of the immunocompromised. This is counterproductive.  https://t.co/Lu4v1wnGGl",FALSE,FALSE,,0,FALSE,FALSE,,0
2020-04-18 18:02:15,Cody's on Team Diane! #VoteBlue2020 #VoteDiane https://t.co/vgTbiekuIl,FALSE,FALSE,,0,FALSE,FALSE,,0
2020-04-14 16:52:26,"Colorado has one of the highest voter turnout rates in the nation because we #VoteByMail. It's time to do it nationally.

More voting = more democracy. This isn't rocket science, and it shouldn't be partisan.
https://t.co/YE2nQNoiMC",FALSE,FALSE,,0,FALSE,FALSE,,0
2020-04-13 15:56:52,"Thank you to our @PPRockyMountain clinics for fighting to stay open and providing women with care. As domestic abuse cases spike and hospitals are overwhelmed during this pandemic, Planned Parenthood is more essential than ever. #AbortionIsHealthcare https://t.co/CJNMHwh6vz",FALSE,FALSE,,0,TRUE,TRUE,,1
2020-04-12 18:36:57,"Whether you celebrate Easter, Passover, Ramadan, or simply the hope that Spring brings, Michael and I wish you and your family the very best. It shouldn't take a global pandemic for us to realize that we're all in this together.",FALSE,FALSE,,0,FALSE,FALSE,,0
2020-04-09 18:25:48,"I'm enormously proud of the contest of ideas we've seen in the past months. Thank you to @BernieSanders for running an exceptional, progressive campaign. Congratulations to Joe Biden on becoming our nominee. Now, let's unite to defeat Trump in November. https://t.co/vrOfukqjDL",FALSE,FALSE,,0,FALSE,FALSE,,0
2020-04-08 16:11:14,Great news: this is the power of a grassroots campaign! To all my supporters - thank you for believing in me and in my mission to get our district the representation we deserve. https://t.co/7DHDiYFgC3,FALSE,FALSE,,0,FALSE,FALSE,,0
2020-04-07 15:37:23,"As Colorado's unemployment claims skyrocket, it's critical that Paycheck Protection Program loans for #smallbusiness be expanded. These loans subsidize employee wages while keeping workers on the payroll. Win-Win! https://t.co/u6MnNzL7PC",FALSE,FALSE,,0,FALSE,FALSE,,0
2020-04-06 14:55:52,"#WorkFromHome checklist:
✔️ Lots of tea 
✔️ Lots of screens
✔️ All the motivation to unseat Tipton https://t.co/NZ4WIyhOQC",FALSE,FALSE,,0,FALSE,FALSE,,0
2020-04-04 17:14:50,"Good - Colorado is providing childcare to essential workers.  Now, let's expand this to ensure childcare is available to all who need it when we return to normalcy. It shouldn't take an epidemic for us to ease the burden on working people. https://t.co/mmZ0acMsM1",FALSE,FALSE,,0,FALSE,FALSE,,0
2020-04-02 21:42:43,"I want to express my deepest thanks to all who've been by my side during this campaign. With your help, we finished the 1st fundraising quarter of this year very strong &amp; have seen incredible support at our county assemblies. Let's keep this momentum going! https://t.co/0l2PWQARkx",FALSE,FALSE,,0,FALSE,FALSE,,0
2020-03-31 20:37:08,"I misspelled 'your' in my last re-tweet of this post. Rookie mistake, especially for a former tenured professor. Thanks for your support, @nrrd! https://t.co/xTcixOZgpR",FALSE,FALSE,,0,FALSE,FALSE,,0
2020-03-31 19:12:53,Hey @EthanIsMumbling - thanks for helping my campaign! The incumbent Republican claims to care about veterans but has cut their retirement funding time &amp; again. It's time for new representation. https://t.co/NuH99VRDJl,FALSE,FALSE,,0,TRUE,TRUE,,1
2020-03-31 19:05:53,"Thanks @kevinchen! With your help, we'll unseat a climate change denier in a beautiful, mountainous Congressional District larger than the state of Vermont. https://t.co/Tcfmd0kCsT",FALSE,FALSE,,0,FALSE,TRUE,TRUE,1
2020-03-31 14:43:59,Don't forget to tune in today at noon MT for my Facebook Live event - I can't wait to answer your questions! https://t.co/aGh230xYxk https://t.co/r2JTTioC2A,FALSE,FALSE,,0,FALSE,FALSE,,0
2020-03-30 16:38:54,"As #WomensHistoryMonth comes to a close, let's celebrate Florence Nightingale, a pioneer of medicine and science. Her legacy of service and compassion lives on in our medical professionals bravely battling #coronavirus today. https://t.co/kG5uXTvsIR",FALSE,FALSE,,0,FALSE,FALSE,,0
2020-03-29 16:23:35,I want to thank all who served on this #VietnamWarVeteransDay. You've sacrificed for our country in the 20th century and continue to be pillars of our communities in the 21st. I promise to work to fully fund the VA so that your service is never forgotten. https://t.co/i31kidO40p,FALSE,FALSE,,0,FALSE,FALSE,,0
2020-03-28 17:39:55,More county assemblies are happening today! If you're a delegate - check in with your county party for updates. Our democracy will persevere.,FALSE,FALSE,,0,FALSE,FALSE,,0
2020-03-27 14:58:25,"Five days left in March! Our staff guinea pigs have been working from home - inquiries about Diane‘s race or the best brand of carrots can be directed to Belle or her human, Alice. #StayHome https://t.co/KZvz5Ay2Cg",FALSE,FALSE,,0,FALSE,FALSE,,0
2020-03-26 14:44:10,"Join Diane on Facebook Live next Tuesday, March 31st @ noon MT for an end of month virtual hangout building support for her campaign!
https://t.co/cjsD4wto7J",FALSE,FALSE,,0,FALSE,FALSE,,0
2020-03-25 16:18:39,Team Diane is working hard and taking #socialdistancing very seriously. https://t.co/awzYldwZFU,FALSE,FALSE,,0,FALSE,FALSE,,0
