handle,date,content,url,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
,2020-04-18 17:31:34,"If small businesses represent half of the labor force why weren’t half of the stimulus funds awarded to (real) small businesses. The money has evaporated overnight and small businesses are empty handed. This is TERRIBLY WRONG! 
.⁦@SBAgov⁩ .⁩  https://t.co/LAxNzcDqbA",,FALSE,TRUE,,1,FALSE,FALSE,,0
,2020-04-18 15:15:14,It is truly disappointing to see a program that could have been used to do much good be ransacked &amp; rummaged- fixing very little of the economic precipice we’re plugging into. https://t.co/m0EarIE1dC,,FALSE,FALSE,,0,FALSE,FALSE,,0
,2020-04-17 20:36:14,"Seems the big players always have a way to getting their problems resolved first. This crisis will draw a bigger economic wedge. 
What’s going on with the #PPP loan? .⁦@realDonaldTrump⁩ .@SBAgov⁩ .⁦@marcorubio⁩ .⁦@ScottforFlorida⁩ ⁦ https://t.co/Q7PoaZmHzI",,FALSE,,,0,TRUE,FALSE,,1
,2020-04-17 18:19:20,"Get out of your head.

It’s easy to spend other people’s money and call it public service. 

 #Crooks #Bureaucrats https://t.co/zBKrU0aAnq",,FALSE,,,0,FALSE,FALSE,,0
,2020-04-17 17:54:36,Stop wasting our money. Whoever wants to vote can send their absentee ballot or wear a mask 😷. You people are a bunch of white collar crooks. https://t.co/kAKSrns8VY,,FALSE,FALSE,,0,FALSE,FALSE,,0
,2020-04-16 13:28:58,"Gracias.@FelixLlerenaCUB 🙏

Nadie aprecia más la libertad 🗽 que uno cuando la ha perdido. Salvaguardar la libertad de la cual gozamos en este gran país que nos acogió es un deber. Sin embargo siempre vivo esperanzada de que un día todos los cubanos se puedan desarrollar acorde https://t.co/ynd7CyG5Hc",,FALSE,FALSE,,0,FALSE,FALSE,,0
,2020-04-14 23:22:50,"With friends like these....🙄

Took him about a year. What a joke! https://t.co/clhNyPOvYt",,FALSE,,,0,FALSE,FALSE,,0
,2020-04-12 13:54:07,"We need an ID for everything else. 

Why not for voting?! https://t.co/d1lIaGk5mx",,FALSE,,,0,FALSE,FALSE,,0
,2020-04-10 20:50:00,I hope this madness starts a new era of American made goods. If we learn anything from this unnecessary crisis it should be that we cannot hand over our sovereignty to any nation or special interest. #MadeInTheUSANOW https://t.co/VU9wWXtA3w,,FALSE,TRUE,,1,FALSE,FALSE,,0
,2020-04-08 15:40:52,"What a shame. 🙄

#commie https://t.co/XxuQ57T4aj",,FALSE,FALSE,,0,FALSE,FALSE,,0
,2020-04-04 20:30:41,Thank you @MarcellMiami. Very kind of you. https://t.co/wLNlWvAvNn,,FALSE,FALSE,,0,FALSE,FALSE,,0
,2020-04-04 15:25:14,These people have absolutely lost their moral compass. Even in the mist of a pandemic they are solely concerned with obtaining power. Their greed knows no limit. No regard for loss or the citizens of this country. Truly disheartening. https://t.co/LXRgq3HR4l,,TRUE,TRUE,,1,FALSE,FALSE,,0
,2020-04-04 14:14:55,"So many people going out on a limb to keep things going for the nation. 

I’m confident we will bounce back stronger and better. 

Grateful to live in this amazing country, where resources are boundless and plentiful and who’s people rise to action for the greater good of all. https://t.co/fearUQsDPR",,FALSE,FALSE,,0,FALSE,FALSE,,0
