date,content,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
2020-04-20 18:04:59,"""Our collective behavior will be the primary determinant of whether we can keep this virus in check. 

We each hold the health of our neighbors in our hands."" - @DavidAKesslerMD 

https://t.co/Ce0TPmKxuc",FALSE,FALSE,,0,FALSE,FALSE,,0
2020-04-20 15:23:06,"My thoughts on to open or not to open Ohio...

One day we will re-open. But we can't yet. Not until we have a testing strategy in place and not until healthcare professionals give us the go ahead. 

Anything before then would be premature and hurt us more in the long run. (1/2)",FALSE,FALSE,,0,FALSE,FALSE,,0
2020-04-20 15:00:40,"Parents - 

I wanted to share a routine and reward chart we've been using at my house.🌟

This works wonders for the kids behavior and our own sanity. 

Feel free to download and share. 

https://t.co/4VPerR8GD8 

#parenthood #COVIDー19",FALSE,FALSE,,0,FALSE,FALSE,,0
2020-04-18 16:25:14,Thank you so much @Nightmare_Music. 💪 https://t.co/yEWmpE1mxh,FALSE,FALSE,,0,FALSE,FALSE,,0
2020-04-18 2:55:27,"Moms and Dads —

How do you feel right about now? 

(GIF only answer).

Mine? 

#Covid_19 #InThisTogetherOhio #ohiostrong #Ohio #Ohiolockdown #OhioPrimary https://t.co/941MlMe6Ex",FALSE,FALSE,,0,FALSE,FALSE,,0
2020-04-17 18:54:55,"Okay - tell me the truth - how many pounds have you gained? 

I don't have a scale, but based on how tight my pants are I'm guessing 10 pounds.🤪",FALSE,FALSE,,0,FALSE,FALSE,,0
2020-04-17 17:33:43,"Washington needs to act (now). 

People are hungry &amp; scared. Small businesses are falling apart. Our nation's lack of a social safety net is alarming.

We need forward thinking leaders in DC (yesterday). 

I can't wait to take your job in November @RepBalderson.",TRUE,TRUE,,1,TRUE,TRUE,,1
2020-04-17 3:33:21,"A wake up call for our entire country.

Shame on you @amazon, @WholeFoods and @Instacart 

https://t.co/Y7sG43luyX",FALSE,FALSE,,0,FALSE,FALSE,,0
2020-04-16 16:46:30,"Our country needs a new tech stack &amp; we need it now. 

Clearly we are woefully behind and now millions of individuals and businesses are waiting for stimulus checks, loans and unemployment checks. 

Time to move forward, faster and invest in tech.",FALSE,FALSE,,0,FALSE,FALSE,,0
2020-04-15 23:10:39,"Do your kids need a trim? Join us tomorrow at 6:30 pm (link below) for a virtual lesson from District 12's own Rebekah Keller Lowe. 

https://t.co/oB8OIB8gbL https://t.co/2aGb7x7s8u",FALSE,FALSE,,0,FALSE,FALSE,,0
2020-04-15 17:05:34,"A one time payment is clearly not enough. 

I fully support @RepTimRyan in his push for steady payments for more families until employment levels are restored. 

https://t.co/3r7ACFAHqA",FALSE,FALSE,,0,FALSE,FALSE,,0
