ad_creative_body,covid_final,other_final,covid,other,either
"Right now we have the momentum to flip this seat RED -- a seat that was only recently turned blue in 2018 by Gil Cisneros and Nancy Pelosi. But we have to keep moving. The Democrats spent millions to keep us out of office in 2018, and they’re gearing up to do it again. 

This is going to be the fight of our lives -- but it’s a fight we can win as long as you are willing to fight with us. Can we count on you to chip in?",0.0,0.0,False,False,False
I’m an immigrant and conservative woman running to flip #CA39 red. But it comes down to this. The Democrats are spending millions against us and we need our grassroots supporters to keep us in the fight. We can’t win this fight alone -- Can you chip in $5 right now to close the fundraising gap?,0.0,0.0,False,False,False
Will you rush a contribution to our campaign to flip this MUST-WIN seat red? I’m an immigrant and proud conservative woman running to take back the House for Republicans.,0.0,0.0,False,False,False
"We are taking on the Democrats and their failed socialist agenda -- but we can’t do it alone. This race will be one of the toughest in the country, but it will help determine who controls the House Majority. Can you chip in to join the fight?",0.0,0.0,False,False,False
"Candidate for U.S. House of Representatives. Running to serve California's 45th Congressional District. Bringing integrity back to Washington, D.C.",0.0,1.0,False,True,True
"One team is fighting for a radical, socialist agenda and the other is fighting for Democracy. Take your choice of a Congressional super team! Take our official poll now 👇 👇 👇",0.0,0.0,False,False,False
"Socialist Agenda vs. Conservative Voice
Which team would you rather have fighting for you? Take our official poll now 👇",0.0,1.0,False,True,True
"Tiffany Shedd, Kevin McCarthy, and President Trump are FIGHTING to keep the conservative message moving forward. Which trio do you want fighting for you? ⬇️",0.0,1.0,False,True,True
Have you wished our amazing First Lady Melania Trump a happy birthday yet? Send her a short message before her birthday comes… Sign her card below 👇 👇 👇,0.0,0.0,False,False,False
First Lady Melania Trump’s birthday is soon!! Won’t you send her a small message to celebrate her on her big day? Sign her card below ⬇️,0.0,0.0,False,False,False
You can help send dairy farm veterinarian Ted Howze to Congress - and END the Pelosi agenda! Make your voice heard today!,0.0,0.0,False,False,False
