content,covid_final,other_final,covid,other,either
"Thank you to all those fighting COVID-19 on the frontlines of this battle. I wish all of the University of Arizona medical students the best of luck in their new courageous journey.
https://t.co/pBSZIjPnaD",0,0,False,False,False
The Arizona Department of Health Services has released an up-to-date number of COVID-19 cases along with what counties they are taking place in. https://t.co/FAR1iMKNQD,0,0,False,False,False
The Arizona Department of Health Services has released an up-to-date number of COVID-19 cases along with what counties they are taking place in. Check it out here: https://t.co/o6WIPshZkA,0,0,False,False,False
RT @animalag: FFA and 4-H members are lending their talents to the fight against COVID-19! 💚 🙌 https://t.co/iHLznjRBKm,0,0,False,False,False
"As of today, I am officially on the ballot for #AZ01! Thank you to everyone who helped me achieve this milestone, I wouldn't have been able to do it without your help. Together we will retire Two-Faced-Tom and bring real leadership to AZ01. Help is on the way, @realDonaldTrump! https://t.co/Izxc3rvo2K",0,0,False,False,False
"RT @dougducey: #COVID19 has hit many industries hard, including Arizona’s dairy farmers. Today, I asked @SecPompeo &amp; @SecretarySonny to work with Mexico’s government on solutions to restart the export of milk products to Mexico. Read my letter: https://t.co/iG8Q7CGBqe",0,0,False,False,False
"As a woman running for Congress, this article is spot on. Under @realdonaldtrump's leadership women are thriving due to the President Trump’s pro-growth, pro-America and pro-women policies.  Thank you for shining a light on this, @kelliwardaz. https://t.co/GQyO0Em0wD",0,0,False,False,False
"Follow these guidelines laid out in the @azfb’s article to make sure you are taking all the necessary precautions while farming.  
https://t.co/UEZjPSohq3",0,0,False,False,False
Mexican drug cartels are taking advantage of COVID-19 to smuggle drugs across our southern border. Thank you @realDonaldTrump for protecting the American people from the deadly scourge of Illegal drugs by launching an enhanced counternarcotics operations. https://t.co/kI6KmpaGYY,1,0,True,False,True
"If you are a small business owner and having trouble maintaining payroll, you can apply for a forgivable loan under the Paycheck Protection Program. This loan is only forgivable if used to cover rent, payroll, utilities, mortgages and insurance premiums. https://t.co/G4MXT6zEG4",0,0,False,False,False
Check out this graphic to learn more about the #PaymentProtectionProgram. This is a big step in the right direction! https://t.co/1sV7vsErxg,0,0,False,False,False
"RT @DebbieLesko: Great to see business leaders prioritizing their employees during these tough economic times. We can all do our part to help our communities and if we work together, we can beat this virus! https://t.co/uSBj0WP8xl",0,0,False,False,False
If you are a farmer or rancher contact your banker. https://t.co/LggjiuJPyP,0,0,False,False,False
